n,radius,center,randomCenter,centerShift,endpoints,EPZs,EPZsFreq,distance,preprocessingTime,normalProcessingTime
0,200,"[33.64025067958688, -117.83443429448087]","[33.63899450964143, -117.83514538080972]",154.15780040756732,"[[33.63959, -117.83306], [33.63946, -117.83296], [33.62832, -117.80591], [33.64082, -117.83534], [33.6395, -117.83292], [33.64082, -117.83537], [33.63953, -117.83308], [33.64083, -117.83534], [33.63951, -117.83293], [33.63945, -117.83301], [33.63951, -117.83287], [33.63948, -117.83289], [33.63958, -117.83299], [33.64086, -117.83539], [33.63948, -117.83285], [33.63944, -117.83291], [33.63951, -117.83302], [33.63953, -117.83295], [33.63955, -117.83292], [33.63945, -117.8329], [33.63954, -117.83308], [33.63947, -117.83306], [33.6395, -117.83296], [33.64091, -117.83558], [33.64087, -117.83532], [33.64088, -117.83545], [33.63956, -117.83304], [33.63947, -117.83288], [33.63955, -117.83304], [33.63946, -117.83295], [33.6395, -117.83302], [33.63945, -117.83291], [33.64085, -117.83525], [33.641, -117.83568], [33.63955, -117.83286], [33.63945, -117.83303], [33.63719, -117.83511], [33.56461, -117.8299], [33.63949, -117.83293], [33.63943, -117.83297], [33.63953, -117.83299], [33.64086, -117.83531], [33.63953, -117.83301], [33.63944, -117.83297], [33.67638, -117.86301], [33.64094, -117.8356], [33.63954, -117.83299], [33.64085, -117.83517], [33.63955, -117.83291], [33.63946, -117.83306], [33.63954, -117.83309], [33.64087, -117.83533], [33.63955, -117.83296], [33.64079, -117.83539], [33.63956, -117.83287], [33.63944, -117.8329], [33.63948, -117.83296], [33.6408, -117.83532], [33.63954, -117.83297], [33.64108, -117.83593]]","[[33.639002600813264, -117.83514783377588], [33.632701879416075, -117.82576201986056], [33.631550613534, -117.82407207421728]]","[15, 6, 6]","[0.9258434557143218, 1115.8021601141556, 1318.0107726073954]",0.3091614246368408,62.68283438682556
1,200,"[33.64025067958688, -117.83443429448087]","[33.63967742846518, -117.8332482705577]",127.08069563476587,"[[33.63958, -117.83101], [33.64085, -117.83517], [33.63935, -117.83105], [33.64078, -117.83524], [33.63907, -117.83057], [33.63955, -117.83103], [33.63962, -117.83109], [33.63954, -117.83105], [33.64073, -117.83522], [33.64079, -117.83535], [33.63947, -117.83087], [33.64074, -117.8352], [33.63916, -117.83054], [33.63955, -117.83106], [33.63931, -117.83087], [33.63939, -117.83068], [33.64085, -117.83525], [33.641, -117.83568], [33.63938, -117.8311], [33.64063, -117.83508], [33.63954, -117.83097], [33.64077, -117.83527], [33.63957, -117.83097], [33.64078, -117.83529], [33.63931, -117.83034], [33.64069, -117.8351], [33.63943, -117.83065], [33.63942, -117.83068], [33.63944, -117.83063], [33.64084, -117.83534], [33.63922, -117.83078], [33.64079, -117.8353], [33.63956, -117.83096], [33.64078, -117.83521], [33.63955, -117.83097], [33.6408, -117.83525], [33.63948, -117.83077], [33.64091, -117.83558], [33.63914, -117.83054], [33.64067, -117.8351], [33.63944, -117.83071], [33.64078, -117.83528], [33.63956, -117.831], [33.63988, -117.83545], [33.63923, -117.83084], [33.63936, -117.83057], [33.64087, -117.83532], [33.64088, -117.83545], [33.63915, -117.83065], [33.63957, -117.83103], [33.63943, -117.83072], [33.6408, -117.83532], [33.6395, -117.83095], [33.64081, -117.83531], [33.63808, -117.83428], [33.63798, -117.83438], [33.63933, -117.83103], [33.63809, -117.83436], [33.6393, -117.83094], [33.63955, -117.83097], [33.63941, -117.83064], [33.63954, -117.83097], [33.6395, -117.83081], [33.64055, -117.83516], [33.62832, -117.80591], [33.64082, -117.83534], [33.63925, -117.83074], [33.64087, -117.83533], [33.63945, -117.83074], [33.64046, -117.83525], [33.63947, -117.83092], [33.64086, -117.83539], [33.6393, -117.83033], [33.64079, -117.83523], [33.63957, -117.83104], [33.64072, -117.83516], [33.63936, -117.83103], [33.63951, -117.83099], [33.63719, -117.83511], [33.56461, -117.8299], [33.63942, -117.83063], [33.64072, -117.83521]]","[[33.64591339599033, -117.82687115471921], [33.647519991683936, -117.82588542530952], [33.65072698893107, -117.82391989337678]]","[7, 6, 6]","[910.1643492399992, 1105.989597568633, 1500.2960996845738]",0.7487320899963379,119.01418447494507
2,200,"[33.64025067958688, -117.83443429448087]","[33.641005672206795, -117.8339497967417]",95.04110342737084,"[[33.63972, -117.8321], [33.63976, -117.83173], [33.6395, -117.83081], [33.64124, -117.83643], [33.63953, -117.8327], [33.63948, -117.83279], [33.6394, -117.83118], [33.63978, -117.83171], [33.6398, -117.83154], [33.63975, -117.83154], [33.6393, -117.83094], [33.63955, -117.83097], [33.63943, -117.83065], [33.63942, -117.83068], [33.63966, -117.83137], [33.63976, -117.83164], [33.63947, -117.83087], [33.64123, -117.8361], [33.63946, -117.83271], [33.64248, -117.83638], [33.6393, -117.83033], [33.64123, -117.83611], [33.63943, -117.83072], [33.6413, -117.83626], [33.63907, -117.83057], [33.63955, -117.83103], [33.63948, -117.83077], [33.64124, -117.8363], [33.63984, -117.83202], [33.63949, -117.83139], [33.63938, -117.8311], [33.63986, -117.83195], [33.63945, -117.83074], [33.64122, -117.83611], [33.63974, -117.83237], [33.64242, -117.83633], [33.63928, -117.83311], [33.63906, -117.83341], [33.6395, -117.83276], [33.63977, -117.83167], [33.63947, -117.83277], [33.64127, -117.83612], [33.63948, -117.83279], [33.63946, -117.83283], [33.63974, -117.83231], [33.63946, -117.83283], [33.63989, -117.83204], [33.63976, -117.8316], [33.63949, -117.83276], [33.64124, -117.8361], [33.63946, -117.83281], [33.63971, -117.83147], [33.63947, -117.83277], [33.64127, -117.83628], [33.63808, -117.83428], [33.63798, -117.83438], [33.67733, -117.85939], [33.64122, -117.8361], [33.63987, -117.83196], [33.64123, -117.83611], [33.64202, -117.83599], [33.64222, -117.83615], [33.63982, -117.83176], [33.64123, -117.83614], [33.63969, -117.83217], [33.63945, -117.83285], [33.63948, -117.83278], [33.63942, -117.83285], [33.63945, -117.83284], [33.63978, -117.83159], [33.63958, -117.83101], [33.64195, -117.83586], [33.63978, -117.83159], [33.64123, -117.83621], [33.64265, -117.83624], [33.64122, -117.83616], [33.63931, -117.83034], [33.64125, -117.83613], [33.63941, -117.83064], [33.63954, -117.83097], [33.6397, -117.8322], [33.63974, -117.83165], [33.63948, -117.83279], [33.63945, -117.83284], [33.63995, -117.83219], [33.64123, -117.83613], [33.63914, -117.83054], [33.64127, -117.83617], [33.64263, -117.83623], [33.63953, -117.83567], [33.63956, -117.83096], [33.64126, -117.83622], [33.63719, -117.83511], [33.56461, -117.8299], [33.63946, -117.83273], [33.64123, -117.83612], [33.63945, -117.8327], [33.64121, -117.83611], [33.63951, -117.83273], [33.63965, -117.832], [33.63943, -117.83283], [33.64124, -117.83626], [33.63986, -117.83197], [33.64123, -117.83613]]","[[33.640984381624264, -117.833971121118], [33.652725117262015, -117.82390952737258], [33.64110093532371, -117.83395811188751]]","[127, 9, 8]","[3.0806124663965346, 1599.11168176541, 10.594318010051936]",0.5837383270263672,392.12005281448364
3,200,"[33.64025067958688, -117.83443429448087]","[33.6418049165365, -117.8342005545]",173.7480801667115,"[[33.63943, -117.83283], [33.64124, -117.83626], [33.63954, -117.83307], [33.64135, -117.83635], [33.64273, -117.83628], [33.6412, -117.8371], [33.63947, -117.83277], [33.64128, -117.8364], [33.63988, -117.83349], [33.64117, -117.83685], [33.6395, -117.83081], [33.64124, -117.83643], [33.63922, -117.83078], [33.64111, -117.83725], [33.63947, -117.83087], [33.64123, -117.83635], [33.63956, -117.831], [33.63988, -117.83545], [33.63984, -117.83344], [33.64122, -117.83631], [33.64002, -117.83379], [33.63994, -117.83383], [33.62832, -117.80591], [33.64253, -117.83636], [33.63941, -117.83064], [33.63954, -117.83097], [33.63944, -117.83063], [33.64131, -117.83629], [33.63978, -117.83159], [33.64124, -117.83654], [33.6398, -117.83154], [33.63975, -117.83154], [33.63995, -117.83219], [33.6412, -117.83663], [33.6393, -117.83033], [33.64117, -117.83701], [33.64265, -117.83624], [33.64114, -117.83686], [33.63955, -117.83292], [33.63945, -117.8329], [33.63931, -117.83087], [33.63939, -117.83068], [33.63995, -117.8337], [33.6285, -117.8061], [33.63946, -117.83271], [33.64248, -117.83638], [33.63972, -117.8321], [33.63976, -117.83173], [33.63951, -117.83273], [33.63965, -117.832], [33.63948, -117.83285], [33.63944, -117.83291], [33.63938, -117.8311], [33.63986, -117.83195], [33.63995, -117.83373], [33.64006, -117.83536], [33.63931, -117.83034], [33.64124, -117.83641], [33.64251, -117.83645], [33.64252, -117.83645], [33.64263, -117.83623], [33.63953, -117.83567], [33.67733, -117.85939], [33.64114, -117.83685], [33.63954, -117.83097], [33.64119, -117.83641], [33.63947, -117.83092], [33.64128, -117.83653], [33.63994, -117.83455], [33.64124, -117.83627], [33.64264, -117.83622], [33.64244, -117.83633], [33.63928, -117.83311], [33.63906, -117.83341], [33.63948, -117.83279], [33.63945, -117.83284], [33.63985, -117.83348], [33.64116, -117.837], [33.63925, -117.83074], [33.64254, -117.83645], [33.63955, -117.83097], [33.64131, -117.83637]]","[[33.64191102484504, -117.83426899131976], [33.64251207008592, -117.83860561461904], [33.64125404167793, -117.83026505955921]]","[9, 6, 5]","[13.372385401324959, 416.1180231478454, 370.1773877797874]",0.19043588638305664,172.62252855300903
4,200,"[33.64025067958688, -117.83443429448087]","[33.64030451843404, -117.83560987128901]",109.2244292527181,"[[33.63989, -117.83204], [33.63976, -117.8316], [33.63986, -117.83349], [33.63971, -117.83323], [33.63957, -117.83097], [33.64141, -117.83743], [33.64216, -117.83611], [33.64222, -117.83615], [33.63955, -117.83292], [33.63945, -117.8329], [33.63948, -117.83279], [33.63945, -117.83284], [33.63947, -117.83087], [33.6413, -117.83741], [33.63966, -117.83137], [33.63976, -117.83164], [33.63951, -117.83289], [33.64134, -117.83744], [33.63979, -117.83344], [33.63971, -117.83324], [33.6395, -117.83081], [33.6414, -117.83737], [33.63972, -117.8321], [33.63976, -117.83173], [33.63953, -117.83299], [33.64139, -117.8374], [33.63954, -117.83315], [33.6398, -117.83336], [33.63941, -117.83064], [33.63954, -117.83097], [33.63942, -117.83063], [33.64133, -117.83739], [33.63954, -117.83297], [33.64128, -117.83743], [33.63984, -117.83344], [33.64168, -117.83741], [33.63969, -117.83327], [33.6391, -117.83349], [33.6393, -117.83094], [33.63955, -117.83097], [33.63984, -117.83202], [33.63949, -117.83139], [33.63947, -117.83092], [33.64131, -117.83744], [33.63958, -117.83101], [33.64209, -117.83598], [33.63916, -117.83054], [33.63955, -117.83106], [33.63976, -117.83353], [33.64134, -117.83752], [33.63953, -117.8327], [33.63948, -117.83279], [33.63935, -117.83105], [33.64136, -117.83739], [33.63982, -117.8334], [33.63846, -117.83493]]","[[33.64986012193823, -117.82697864130232], [33.648291843802774, -117.82815580871737], [33.65297956959633, -117.82466783734519]]","[9, 6, 6]","[1328.3206733553536, 1123.8454988649162, 1734.0051852674574]",0.14044952392578125,91.0068519115448
5,200,"[33.64025067958688, -117.83443429448087]","[33.640178489858805, -117.83367217054747]",71.1560447775374,"[[33.63962, -117.83109], [33.63954, -117.83105], [33.63936, -117.83103], [33.63951, -117.83099], [33.63915, -117.83065], [33.63957, -117.83103], [33.63947, -117.83087], [33.6413, -117.83741], [33.63971, -117.83141], [33.64104, -117.83567], [33.67733, -117.85939], [33.64114, -117.83685], [33.6398, -117.83154], [33.63975, -117.83154], [33.63969, -117.83137], [33.64112, -117.8358], [33.6393, -117.83094], [33.63955, -117.83097], [33.63923, -117.83084], [33.63973, -117.83152], [33.63964, -117.83137], [33.64124, -117.83626], [33.63965, -117.83114], [33.64124, -117.83654], [33.63956, -117.831], [33.63946, -117.83571], [33.63963, -117.83114], [33.6396, -117.83109], [33.63964, -117.83115], [33.63958, -117.83112], [33.63963, -117.83114], [33.63952, -117.8309], [33.63954, -117.83162], [33.63962, -117.83126], [33.63976, -117.83157], [33.64134, -117.83744], [33.64102, -117.83562], [33.641, -117.83568], [33.63964, -117.83122], [33.63971, -117.83149], [33.63959, -117.83112], [33.64106, -117.83585], [33.63935, -117.83105], [33.64136, -117.83739], [33.63827, -117.83413], [33.63806, -117.83433], [33.63955, -117.83097], [33.64131, -117.83637], [33.63966, -117.83125], [33.64123, -117.83612], [33.63957, -117.83104], [33.64099, -117.83577], [33.63973, -117.83143], [33.64128, -117.83743], [33.63719, -117.83511], [33.56461, -117.8299], [33.6394, -117.83107], [33.63973, -117.83157], [33.63931, -117.83034], [33.64124, -117.83641], [33.63958, -117.83101], [33.64209, -117.83598], [33.6394, -117.83118], [33.6396, -117.83114], [33.63945, -117.83127], [33.63958, -117.83106], [33.63948, -117.83077], [33.64124, -117.8363]]","[[33.64270136569076, -117.82887362174097], [33.63775537784169, -117.83206388704627], [33.64593672647374, -117.82693534851552]]","[6, 4, 4]","[525.8105454387181, 307.4010384112578, 893.5889777407601]",0.2043769359588623,131.52621817588806
6,200,"[33.64025067958688, -117.83443429448087]","[33.640707686311394, -117.8356942722629]",127.40833206552473,"[[33.63925, -117.83074], [33.64254, -117.83645], [33.63923, -117.83084], [33.63973, -117.83152], [33.63969, -117.83327], [33.6391, -117.83349], [33.6393, -117.83033], [33.64203, -117.83735], [33.63958, -117.83295], [33.63961, -117.83324], [33.63941, -117.83064], [33.63954, -117.83097], [33.63957, -117.83097], [33.64192, -117.83734], [33.63923, -117.83084], [33.63936, -117.83057], [33.63974, -117.83231], [33.63946, -117.83283], [33.63945, -117.83127], [33.63958, -117.83106], [33.63943, -117.83072], [33.64209, -117.83733], [33.63972, -117.8333], [33.63973, -117.83345], [33.63933, -117.83103], [33.63809, -117.83436], [33.63945, -117.8327], [33.64185, -117.83744], [33.63956, -117.831], [33.63958, -117.8377], [33.64265, -117.83624], [33.64186, -117.83747], [33.6398, -117.83154], [33.63975, -117.83154], [33.64264, -117.83622], [33.64244, -117.83633], [33.63963, -117.83114], [33.6396, -117.83109], [33.63944, -117.83063], [33.64176, -117.83748], [33.63962, -117.83323], [33.64187, -117.83745], [33.63995, -117.8337], [33.6285, -117.8061], [33.63827, -117.83413], [33.63806, -117.83433], [33.63995, -117.83358], [33.63968, -117.83338], [33.63945, -117.83284], [33.63978, -117.83159], [33.6395, -117.83276], [33.63977, -117.83167], [33.63972, -117.8321], [33.63976, -117.83173], [33.63986, -117.83197], [33.64175, -117.83746], [33.63955, -117.83292], [33.63945, -117.8329], [33.63949, -117.83276], [33.64186, -117.83744], [33.63947, -117.83277], [33.64209, -117.83724], [33.63964, -117.83115], [33.63958, -117.83112], [33.63914, -117.83054], [33.64219, -117.83736], [33.63958, -117.83101], [33.64244, -117.83631], [33.64263, -117.83623], [33.63882, -117.83566], [33.63954, -117.83162], [33.63962, -117.83126], [33.63957, -117.83104], [33.64183, -117.83746], [33.63944, -117.83071], [33.64189, -117.83733], [33.63977, -117.83332], [33.63979, -117.83337], [33.63977, -117.83338], [33.63977, -117.83331], [33.63946, -117.83281], [33.63971, -117.83147], [33.63987, -117.83196], [33.64202, -117.83731], [33.63962, -117.83109], [33.63954, -117.83105], [33.63953, -117.83299], [33.64192, -117.8373], [33.63995, -117.83219], [33.64215, -117.83733], [33.63938, -117.8311], [33.63986, -117.83195], [33.63955, -117.83097], [33.64213, -117.83735], [33.63986, -117.83349], [33.63971, -117.83323], [33.63956, -117.83096], [33.64187, -117.83745], [33.63953, -117.83308], [33.64191, -117.83734]]","[[33.652710421899414, -117.8238678476482], [33.65123881851511, -117.82519320313622], [33.64071016161125, -117.83570144620906]]","[26, 13, 6]","[1725.0917635806088, 1520.969709621167, 0.7199460542587566]",0.22103524208068848,314.7893362045288
7,200,"[33.64025067958688, -117.83443429448087]","[33.63987419115376, -117.83380829545752]",71.53005249599074,"[[33.64263, -117.83623], [33.63882, -117.83566], [33.63935, -117.83105], [33.64136, -117.83739], [33.63952, -117.83159], [33.63974, -117.83156], [33.64216, -117.83611], [33.64222, -117.83615], [33.63967, -117.83141], [33.64134, -117.83752], [33.63953, -117.83151], [33.63962, -117.83128], [33.63978, -117.83156], [33.64215, -117.83733], [33.6394, -117.83118], [33.6396, -117.83114], [33.6393, -117.83033], [33.64203, -117.83735], [33.63944, -117.83063], [33.64176, -117.83748], [33.63922, -117.83078], [33.64111, -117.83725], [33.63937, -117.83113], [33.63964, -117.83121], [33.63976, -117.83157], [33.64134, -117.83744], [33.63923, -117.83084], [33.63973, -117.83152], [33.63947, -117.83087], [33.6413, -117.83741], [33.63978, -117.83164], [33.6411, -117.83601], [33.64264, -117.83622], [33.64244, -117.83633], [33.63971, -117.83134], [33.641, -117.83575], [33.63931, -117.83087], [33.63939, -117.83068], [33.6397, -117.83162], [33.63978, -117.83159], [33.63954, -117.83097], [33.64119, -117.83641], [33.63933, -117.83098], [33.63811, -117.83438], [33.63964, -117.83115], [33.63958, -117.83112], [33.6396, -117.83124], [33.64191, -117.83734], [33.63943, -117.83109], [33.63959, -117.83119], [33.63957, -117.83104], [33.64183, -117.83746], [33.6395, -117.83145], [33.63955, -117.83097], [33.63938, -117.8311], [33.63977, -117.83155], [33.63916, -117.83054], [33.63955, -117.83106], [33.63925, -117.83074], [33.64254, -117.83645]]","[[33.649701940682796, -117.8264201288075], [33.64820304007052, -117.8277371000692], [33.643357168504004, -117.83199440419477]]","[11, 10, 8]","[1287.6208783973757, 1081.9527473846692, 421.37666699194796]",0.20539188385009766,100.43581581115723
8,200,"[33.64025067958688, -117.83443429448087]","[33.64161208016824, -117.8338124036019]",161.64740122162988,"[[33.63941, -117.83064], [33.63954, -117.83097], [33.63982, -117.83176], [33.64123, -117.83614], [33.63931, -117.83034], [33.64124, -117.83641], [33.63963, -117.83114], [33.63952, -117.8309], [33.63951, -117.83273], [33.63965, -117.832], [33.64273, -117.83628], [33.6412, -117.8371], [33.64118, -117.83594], [33.64119, -117.83594], [33.63948, -117.83278], [33.63942, -117.83285], [33.64263, -117.83623], [33.63882, -117.83566], [33.63907, -117.83057], [33.63955, -117.83103], [33.64265, -117.83624], [33.64186, -117.83747], [33.63945, -117.8327], [33.64185, -117.83744], [33.6395, -117.83276], [33.63977, -117.83167], [33.63977, -117.83332], [33.63979, -117.83337], [33.63923, -117.83084], [33.63936, -117.83057], [33.63956, -117.83096], [33.64187, -117.83745], [33.63976, -117.83157], [33.64134, -117.83744], [33.6397, -117.83162], [33.63978, -117.83159], [33.63925, -117.83074], [33.64254, -117.83645], [33.63957, -117.83104], [33.64183, -117.83746], [33.63987, -117.83196], [33.64202, -117.83731], [33.63971, -117.83141], [33.64118, -117.836], [33.6393, -117.83033], [33.64203, -117.83735], [33.63964, -117.83122], [33.63971, -117.83149], [33.63957, -117.83097], [33.64192, -117.83734], [33.63948, -117.83077], [33.64124, -117.8363], [33.63954, -117.83315], [33.6398, -117.83336], [33.64264, -117.83622], [33.64244, -117.83633], [33.63969, -117.83217], [33.63945, -117.83285], [33.63938, -117.8311], [33.63977, -117.83155], [33.63966, -117.83137], [33.63976, -117.83164], [33.63962, -117.83306], [33.64117, -117.83685], [33.63977, -117.83338], [33.63977, -117.83331], [33.63947, -117.83277], [33.64128, -117.8364], [33.63947, -117.83277], [33.64209, -117.83724], [33.6395, -117.83095], [33.64114, -117.83601], [33.63978, -117.83156], [33.64215, -117.83733], [33.6393, -117.83094], [33.63955, -117.83097], [33.63933, -117.83098], [33.63811, -117.83438], [33.63964, -117.83115], [33.63958, -117.83112], [33.63937, -117.83113], [33.63964, -117.83121], [33.63974, -117.83237], [33.64242, -117.83633], [33.63962, -117.83109], [33.63954, -117.83105], [33.63955, -117.83097], [33.64213, -117.83735], [33.63922, -117.83078], [33.64111, -117.83725], [33.67638, -117.86301], [33.64107, -117.83595], [33.63969, -117.83327], [33.6391, -117.83349], [33.63935, -117.83105], [33.64136, -117.83739], [33.62832, -117.80591], [33.64253, -117.83636], [33.63954, -117.83162], [33.63962, -117.83126], [33.63978, -117.83332], [33.63968, -117.83338]]","[[33.63773920075949, -117.8320188524454], [33.644304486049194, -117.82787457420119], [33.64668885505409, -117.82908331149318]]","[15, 13, 12]","[460.6645428523856, 626.5904107393734, 713.82246561758]",0.08504414558410645,363.9986698627472
9,200,"[33.64025067958688, -117.83443429448087]","[33.64136553789579, -117.83416388206913]",126.17460136355021,"[[33.63953, -117.83151], [33.63962, -117.83128], [33.63966, -117.83125], [33.64123, -117.83648], [33.63969, -117.83327], [33.6391, -117.83349], [33.6396, -117.83124], [33.64191, -117.83734], [33.63957, -117.83104], [33.64183, -117.83746], [33.63719, -117.83511], [33.56461, -117.8299], [33.6394, -117.83118], [33.6396, -117.83114], [33.63951, -117.83273], [33.63965, -117.832], [33.63956, -117.831], [33.63958, -117.8377], [33.63946, -117.83271], [33.64248, -117.83638], [33.63954, -117.83097], [33.64119, -117.83641], [33.63976, -117.83157], [33.64134, -117.83744], [33.63946, -117.83281], [33.63971, -117.83147], [33.63962, -117.83306], [33.64117, -117.83685], [33.63971, -117.83141], [33.64135, -117.83642], [33.63948, -117.83077], [33.64129, -117.83664], [33.6393, -117.83033], [33.64203, -117.83735], [33.63943, -117.83109], [33.63959, -117.83119], [33.63942, -117.83063], [33.64133, -117.83739], [33.63827, -117.83413], [33.63806, -117.83433], [33.63956, -117.83096], [33.64187, -117.83745], [33.63965, -117.83114], [33.64124, -117.83654], [33.63964, -117.83309], [33.64125, -117.83648], [33.63962, -117.83323], [33.64187, -117.83745], [33.6396, -117.83307], [33.64116, -117.837], [33.6395, -117.83095], [33.64128, -117.8366], [33.63966, -117.83137], [33.63976, -117.83164], [33.63987, -117.83196], [33.64202, -117.83731], [33.63966, -117.8332], [33.64168, -117.83741], [33.63978, -117.83156], [33.64215, -117.83733], [33.63938, -117.8311], [33.63977, -117.83155], [33.63973, -117.83143], [33.64128, -117.83743], [33.63957, -117.83097], [33.64192, -117.83734], [33.63964, -117.83122], [33.63971, -117.83149], [33.63952, -117.83159], [33.63974, -117.83156], [33.6394, -117.83107], [33.63973, -117.83157], [33.63963, -117.83114], [33.6396, -117.83109], [33.63936, -117.83103], [33.63951, -117.83099], [33.63954, -117.83162], [33.63962, -117.83126], [33.63945, -117.8327], [33.64185, -117.83744], [33.64267, -117.83627], [33.63989, -117.83543], [33.64264, -117.83622], [33.64244, -117.83633]]","[[33.63774663529307, -117.83199275940834], [33.64137045313973, -117.84605268184323], [33.648198992978884, -117.82773314435676]]","[12, 9, 8]","[449.09662498207024, 1102.9385596307905, 964.5519881920806]",0.16699576377868652,236.54790115356445
