n,radius,numberActivity,center,randomCenter,centerShift,endpoints,EPZs,EPZsFreq,distance,preprocessingTime,normalProcessingTime
0,200,37,"[33.64025067958688, -117.83443429448087]","[33.64137170079565, -117.83517442375165]",142.03815068279906,"[[33.63958, -117.83295], [33.63995, -117.83384], [33.63989, -117.83375], [33.63999, -117.83371], [33.64, -117.83372], [33.6395, -117.83306], [33.63993, -117.83369], [33.63986, -117.83349], [33.6399, -117.83371], [33.63999, -117.83371], [33.64001, -117.83375], [33.6399, -117.83371], [33.63984, -117.83344], [33.64119, -117.83734], [33.63997, -117.83378], [33.63984, -117.83362], [33.63952, -117.83304], [33.64122, -117.83736], [33.63971, -117.83339], [33.6399, -117.83379], [33.63956, -117.83302], [33.63988, -117.83351], [33.63996, -117.83383], [33.63993, -117.83361], [33.63991, -117.83355], [33.63985, -117.83348], [33.63987, -117.83366], [33.64123, -117.83735], [33.63973, -117.83333], [33.63964, -117.83446], [33.63978, -117.83341], [33.6412, -117.83733], [33.63955, -117.83292], [33.63986, -117.83368], [33.63995, -117.8337], [33.6285, -117.8061], [33.63993, -117.83366], [33.64134, -117.83739], [33.63993, -117.83385], [33.6412, -117.83734], [33.63985, -117.83348], [33.64121, -117.83734], [33.63953, -117.83295], [33.63995, -117.83367], [33.63962, -117.83435], [33.56461, -117.8299], [33.6396, -117.83305], [33.63978, -117.83352], [33.63954, -117.83296], [33.63998, -117.83372], [33.63987, -117.83354], [33.64119, -117.83732], [33.63986, -117.83349], [33.64123, -117.83735], [33.63988, -117.83349], [33.64119, -117.83732], [33.63995, -117.83358], [33.63968, -117.83338], [33.67733, -117.85939], [33.64114, -117.83735], [33.62832, -117.80591], [33.64253, -117.83684], [33.63974, -117.83326], [33.63965, -117.83442], [33.63976, -117.83336], [33.63993, -117.83364], [33.63993, -117.8336], [33.63953, -117.83313], [33.63993, -117.8336], [33.63973, -117.83342], [33.63955, -117.83284], [33.63963, -117.83441], [33.6395, -117.83303], [33.63946, -117.83571]]","[[33.64138299208816, -117.83517654262627], [33.64124765317118, -117.83211336020277], [33.636028095794046, -117.83419619652871]]","[33, 13, 6]","[1.2677168682779791, 284.3118976309191, 599.5986174125445]",0.2976818084716797,126.47860956192017
1,200,109,"[33.64025067958688, -117.83443429448087]","[33.64084596696187, -117.83546533287866]",116.22723895198737,"[[33.63985, -117.83352], [33.64182, -117.83733], [33.64256, -117.83614], [33.64156, -117.83745], [33.63983, -117.83357], [33.63904, -117.83342], [33.63991, -117.83362], [33.63983, -117.83362], [33.63958, -117.83311], [33.64181, -117.83741], [33.63977, -117.83338], [33.63977, -117.83331], [33.63957, -117.83298], [33.63984, -117.83362], [33.63976, -117.83336], [33.63982, -117.83345], [33.63974, -117.83342], [33.64254, -117.83645], [33.63947, -117.83283], [33.63976, -117.83345], [33.63979, -117.83337], [33.64176, -117.83735], [33.63977, -117.83345], [33.64212, -117.8373], [33.63975, -117.83329], [33.64186, -117.83744], [33.63919, -117.83457], [33.56461, -117.8299], [33.63981, -117.83347], [33.64166, -117.8374], [33.63954, -117.83296], [33.63965, -117.83315], [33.63983, -117.83358], [33.63989, -117.83354], [33.63973, -117.83333], [33.63934, -117.83391], [33.63982, -117.8334], [33.63885, -117.83567], [33.63994, -117.8335], [33.64172, -117.83736], [33.63971, -117.83324], [33.63969, -117.83335], [33.63988, -117.83345], [33.64248, -117.83638], [33.63984, -117.83345], [33.63977, -117.83352], [33.63954, -117.83307], [33.6418, -117.83738], [33.63972, -117.8333], [33.63973, -117.83345], [33.63991, -117.83355], [33.63985, -117.83348], [33.63982, -117.8335], [33.63979, -117.83349], [33.63979, -117.83357], [33.6418, -117.83737], [33.67733, -117.85939], [33.64153, -117.8375], [33.67638, -117.86301], [33.64192, -117.83738], [33.63962, -117.83306], [33.6397, -117.83337], [33.6398, -117.83346], [33.63977, -117.83332], [33.63993, -117.8336], [33.63953, -117.83313], [33.63995, -117.83358], [33.63968, -117.83338], [33.63977, -117.83341], [33.63978, -117.83339], [33.63984, -117.83344], [33.64168, -117.83741], [33.63976, -117.83332], [33.63981, -117.83346], [33.63955, -117.83292], [33.6395, -117.8331], [33.6398, -117.83346], [33.63982, -117.83365], [33.63983, -117.8335], [33.63986, -117.83356], [33.63955, -117.83296], [33.64191, -117.83741], [33.63976, -117.83342], [33.64159, -117.83745], [33.6396, -117.83305], [33.63978, -117.83352], [33.63953, -117.83299], [33.64186, -117.8373], [33.63984, -117.83357], [33.63945, -117.83303], [33.63964, -117.83323], [33.64184, -117.83746], [33.63955, -117.83298], [33.64173, -117.83741], [33.63954, -117.83315], [33.6398, -117.83336], [33.63954, -117.83293], [33.64185, -117.83734], [33.63955, -117.83284], [33.64155, -117.83746], [33.63974, -117.83335], [33.64254, -117.83647], [33.64267, -117.83627], [33.63913, -117.83631], [33.63993, -117.8336], [33.63973, -117.83342], [33.63987, -117.83354], [33.6417, -117.83739], [33.63956, -117.83302], [33.63988, -117.83351], [33.63983, -117.83349], [33.64161, -117.83744], [33.63981, -117.83352], [33.63989, -117.83354], [33.63979, -117.83351], [33.63914, -117.83462], [33.6398, -117.8335], [33.64168, -117.83748], [33.63977, -117.83332], [33.63979, -117.83337], [33.63974, -117.83326], [33.64181, -117.83736], [33.63962, -117.83323], [33.64166, -117.83739], [33.63989, -117.83349], [33.64165, -117.83747], [33.63986, -117.83349], [33.64189, -117.83733], [33.64265, -117.83624], [33.64155, -117.83753], [33.64264, -117.83622], [33.64253, -117.83637], [33.63979, -117.83344], [33.63971, -117.83324], [33.6395, -117.83303], [33.63973, -117.8374], [33.63976, -117.8333], [33.63978, -117.83335], [33.63973, -117.83338], [33.64177, -117.83738], [33.63951, -117.83302], [33.63979, -117.83334], [33.63951, -117.83289], [33.64157, -117.83744], [33.63988, -117.83352], [33.64253, -117.83643], [33.63983, -117.83352], [33.64175, -117.83746], [33.63986, -117.83349], [33.63971, -117.83323], [33.63963, -117.83313], [33.6395, -117.83306], [33.6399, -117.83346], [33.64192, -117.83734], [33.63976, -117.83353], [33.64146, -117.83755], [33.63956, -117.83287], [33.63966, -117.83338], [33.63986, -117.8335], [33.64251, -117.83641], [33.6395, -117.83297], [33.64165, -117.8374], [33.6427, -117.83621], [33.64249, -117.83646], [33.63976, -117.83333], [33.63963, -117.83323], [33.63984, -117.8335], [33.64136, -117.83756], [33.63963, -117.83321], [33.63952, -117.83313], [33.64263, -117.83623], [33.63902, -117.83574], [33.63987, -117.83348], [33.63946, -117.83306], [33.64271, -117.83628], [33.64247, -117.83641], [33.63976, -117.83336], [33.63963, -117.83327], [33.63982, -117.83353], [33.64182, -117.83737], [33.63979, -117.83347], [33.6398, -117.83362], [33.63995, -117.83357], [33.63958, -117.83322], [33.63951, -117.83298], [33.64166, -117.8374], [33.63976, -117.83334], [33.63971, -117.83337], [33.63952, -117.83304], [33.64177, -117.83746], [33.63958, -117.83295], [33.63961, -117.83324], [33.64251, -117.83645], [33.64252, -117.83645], [33.63971, -117.83339], [33.63966, -117.83335], [33.63986, -117.83355], [33.64181, -117.83739], [33.63988, -117.83349], [33.64152, -117.83748], [33.63985, -117.83348], [33.6416, -117.83743], [33.63978, -117.83341], [33.64189, -117.83733], [33.63985, -117.83351], [33.64156, -117.83746], [33.63984, -117.8335], [33.64184, -117.83735], [33.63974, -117.83335], [33.6285, -117.8061], [33.63958, -117.83301], [33.63972, -117.83331], [33.62832, -117.80591], [33.64253, -117.83684], [33.63958, -117.83308], [33.64185, -117.83745], [33.63986, -117.83352], [33.63986, -117.83349]]","[[33.64084232731563, -117.83548227679786], [33.64119421987414, -117.83195889691098], [33.64573128635269, -117.8283848890321]]","[107, 8, 6]","[1.6229276374022783, 327.58294243080513, 851.5044735451262]",1.2262203693389893,832.2097706794739
2,200,70,"[33.64025067958688, -117.83443429448087]","[33.64133642751733, -117.83438120008266]",120.52741701909257,"[[33.64263, -117.83623], [33.63902, -117.83574], [33.63977, -117.83318], [33.64253, -117.83643], [33.63958, -117.83311], [33.64181, -117.83739], [33.63954, -117.83313], [33.64146, -117.83755], [33.63956, -117.83304], [33.63963, -117.83327], [33.63954, -117.83313], [33.6418, -117.83737], [33.63951, -117.83293], [33.63948, -117.83307], [33.64271, -117.83628], [33.64247, -117.83641], [33.63965, -117.83326], [33.63947, -117.83289], [33.6395, -117.83303], [33.63973, -117.8374], [33.63973, -117.83334], [33.64189, -117.83733], [33.63974, -117.83335], [33.6285, -117.8061], [33.63964, -117.83309], [33.64172, -117.83736], [33.63947, -117.83283], [33.6396, -117.83318], [33.64256, -117.83614], [33.64156, -117.83745], [33.63967, -117.83327], [33.63904, -117.83342], [33.63954, -117.83297], [33.64184, -117.83735], [33.63961, -117.83311], [33.6395, -117.83314], [33.63956, -117.83287], [33.63966, -117.83338], [33.63976, -117.83332], [33.63954, -117.83303], [33.63977, -117.8332], [33.64192, -117.83734], [33.63956, -117.83302], [33.6395, -117.83287], [33.63963, -117.83321], [33.63952, -117.83313], [33.63956, -117.83307], [33.63946, -117.83288], [33.64267, -117.83627], [33.63913, -117.83631], [33.63951, -117.83289], [33.64157, -117.83744], [33.6396, -117.83305], [33.63965, -117.8333], [33.63958, -117.83311], [33.64181, -117.83741], [33.63945, -117.83287], [33.64159, -117.83745], [33.63955, -117.83304], [33.63971, -117.83337], [33.6395, -117.83296], [33.64129, -117.83664], [33.63971, -117.83324], [33.63969, -117.83335], [33.63955, -117.83291], [33.63946, -117.83306], [33.6427, -117.83621], [33.64249, -117.83646], [33.63958, -117.83294], [33.64165, -117.83747], [33.63951, -117.83306], [33.64168, -117.83748], [33.63974, -117.83326], [33.64181, -117.83736], [33.63975, -117.83329], [33.64186, -117.83744], [33.63971, -117.83339], [33.63966, -117.83335], [33.63951, -117.83299], [33.64212, -117.8373], [33.6395, -117.83292], [33.64128, -117.83673], [33.63953, -117.83297], [33.63971, -117.83324], [33.63951, -117.83302], [33.63953, -117.83295], [33.63955, -117.83292], [33.6395, -117.8331], [33.63954, -117.83309], [33.64254, -117.83645], [33.63974, -117.83336], [33.6417, -117.83739], [33.63951, -117.83291], [33.64166, -117.8374], [33.63956, -117.83296], [33.63971, -117.83323], [33.63957, -117.83308], [33.64175, -117.83746], [33.63919, -117.83457], [33.56461, -117.8299], [33.63976, -117.8333], [33.63948, -117.83289], [33.6396, -117.83306], [33.64161, -117.83744], [33.63973, -117.83324], [33.63967, -117.83336], [33.63972, -117.8333], [33.6395, -117.8331], [33.63958, -117.83304], [33.6395, -117.83292], [33.63967, -117.83323], [33.63945, -117.83303], [33.63976, -117.83333], [33.63963, -117.83323], [33.63952, -117.83296], [33.64136, -117.83756], [33.63952, -117.8329], [33.64176, -117.83735], [33.63959, -117.83306], [33.63953, -117.83313], [33.63958, -117.83295], [33.63961, -117.83324], [33.63962, -117.83314], [33.63968, -117.83338], [33.63955, -117.83298], [33.64173, -117.83741], [33.67638, -117.86301], [33.64192, -117.83738], [33.63962, -117.83306], [33.6397, -117.83337], [33.63962, -117.83323], [33.64166, -117.83739], [33.63954, -117.83293], [33.64185, -117.83734], [33.63962, -117.83306], [33.64152, -117.83748], [33.63955, -117.83284], [33.64155, -117.83746], [33.63964, -117.83323], [33.64184, -117.83746]]","[[33.646969400390674, -117.82671566698643], [33.64128298534142, -117.83448419184103], [33.64452790929779, -117.83012270866197]]","[7, 6, 4]","[946.5976538327949, 11.244027752774484, 530.4501033309826]",0.20341920852661133,233.01186084747314
3,200,95,"[33.64025067958688, -117.83443429448087]","[33.640719778318555, -117.83528185688559]",94.28617236340932,"[[33.63962, -117.83319], [33.6395, -117.83293], [33.63954, -117.83309], [33.64254, -117.83645], [33.63962, -117.83323], [33.64166, -117.83739], [33.64265, -117.83624], [33.64155, -117.83753], [33.63957, -117.83308], [33.64175, -117.83746], [33.63954, -117.83297], [33.64184, -117.83735], [33.63958, -117.83311], [33.64181, -117.83741], [33.67638, -117.86301], [33.64192, -117.83738], [33.63973, -117.83324], [33.63967, -117.83336], [33.6427, -117.83621], [33.64249, -117.83646], [33.63975, -117.83329], [33.64186, -117.83744], [33.63964, -117.83309], [33.64172, -117.83736], [33.63962, -117.83306], [33.6397, -117.83337], [33.63956, -117.83296], [33.63971, -117.83323], [33.63952, -117.8331], [33.63879, -117.83407], [33.63954, -117.83296], [33.63965, -117.83315], [33.63951, -117.83302], [33.63953, -117.83295], [33.6395, -117.83297], [33.64165, -117.8374], [33.63958, -117.83304], [33.6395, -117.83292], [33.63956, -117.83287], [33.63966, -117.83338], [33.63951, -117.83289], [33.64157, -117.83744], [33.6395, -117.83303], [33.63973, -117.8374], [33.63973, -117.83338], [33.64177, -117.83738], [33.63961, -117.83311], [33.6395, -117.83314], [33.64256, -117.83614], [33.64156, -117.83745], [33.63955, -117.83304], [33.63971, -117.83337], [33.6395, -117.83296], [33.64122, -117.83736], [33.63962, -117.83307], [33.63973, -117.83342], [33.67733, -117.85939], [33.64153, -117.8375], [33.63957, -117.83298], [33.63967, -117.8333], [33.63958, -117.83294], [33.64165, -117.83747], [33.63969, -117.83327], [33.6391, -117.83349], [33.63976, -117.8333], [33.63948, -117.83289], [33.63954, -117.83299], [33.64251, -117.83641], [33.63951, -117.83298], [33.64166, -117.8374], [33.63982, -117.8334], [33.63885, -117.83567], [33.63977, -117.83318], [33.64253, -117.83643], [33.63955, -117.83296], [33.64191, -117.83741], [33.64267, -117.83627], [33.63913, -117.83631], [33.63973, -117.83333], [33.63916, -117.83362], [33.63956, -117.83304], [33.63963, -117.83327], [33.63977, -117.83338], [33.63977, -117.83331], [33.63951, -117.83306], [33.64168, -117.83748], [33.64263, -117.83623], [33.63882, -117.83566], [33.63976, -117.83332], [33.63954, -117.83303], [33.63954, -117.83315], [33.6398, -117.83336], [33.63953, -117.83299], [33.64186, -117.8373], [33.63973, -117.83334], [33.64189, -117.83733], [33.63957, -117.83314], [33.64182, -117.83737], [33.6395, -117.83292], [33.64131, -117.8374], [33.63978, -117.83341], [33.64189, -117.83733], [33.63953, -117.83297], [33.63971, -117.83324], [33.63951, -117.83293], [33.63948, -117.83307], [33.63954, -117.83308], [33.63971, -117.83342], [33.63974, -117.83335], [33.6285, -117.8061], [33.63955, -117.83291], [33.63946, -117.83306], [33.64264, -117.83622], [33.64253, -117.83637], [33.63964, -117.83323], [33.64184, -117.83746], [33.63963, -117.83313], [33.6395, -117.83306], [33.63955, -117.83298], [33.64173, -117.83741], [33.63953, -117.83305], [33.63954, -117.83315], [33.63957, -117.83313], [33.64123, -117.83735], [33.63958, -117.83295], [33.63961, -117.83324], [33.63952, -117.83296], [33.64136, -117.83756], [33.63963, -117.83321], [33.63952, -117.83313], [33.63971, -117.83324], [33.63969, -117.83335], [33.63962, -117.83306], [33.64152, -117.83748], [33.64271, -117.83628], [33.64247, -117.83641], [33.63974, -117.83326], [33.64181, -117.83736], [33.63951, -117.83291], [33.64166, -117.8374], [33.63977, -117.83341], [33.63978, -117.83339], [33.63957, -117.83295], [33.64248, -117.83638], [33.63953, -117.83295], [33.63962, -117.83316], [33.63947, -117.83283], [33.6396, -117.83318], [33.63974, -117.83335], [33.64254, -117.83647], [33.63972, -117.8333], [33.6395, -117.8331], [33.63961, -117.83312], [33.64156, -117.83746], [33.6396, -117.83305], [33.63965, -117.8333], [33.63966, -117.8332], [33.64168, -117.83741], [33.63957, -117.83305], [33.63948, -117.83289], [33.63959, -117.83306], [33.63953, -117.83313], [33.63952, -117.8329], [33.64176, -117.83735], [33.63954, -117.83313], [33.64146, -117.83755], [33.63977, -117.8332], [33.64192, -117.83734], [33.63894, -117.83459], [33.56461, -117.8299], [33.63958, -117.83311], [33.64181, -117.83739], [33.63965, -117.83326], [33.63947, -117.83289], [33.63954, -117.83293], [33.64185, -117.83734], [33.62832, -117.80591], [33.64253, -117.83684], [33.63955, -117.83292], [33.6395, -117.8331], [33.63956, -117.83307], [33.63946, -117.83288], [33.6396, -117.83307], [33.6416, -117.83743], [33.63977, -117.83332], [33.63979, -117.83337], [33.63976, -117.83333], [33.63963, -117.83323], [33.6396, -117.83306], [33.64161, -117.83744]]","[[33.64697414785551, -117.8267187125542], [33.64452383840955, -117.83011360090391], [33.64577280583255, -117.82841918194929]]","[4, 4, 4]","[1054.651208159688, 638.6752798386113, 848.1943629689805]",0.20425105094909668,699.1582455635071
4,200,80,"[33.64025067958688, -117.83443429448087]","[33.64097221482667, -117.83376359264966]",101.37249305815183,"[[33.63969, -117.83217], [33.63976, -117.83164], [33.6397, -117.8322], [33.6398, -117.83173], [33.63975, -117.83154], [33.63973, -117.8374], [33.63964, -117.83208], [33.64254, -117.83647], [33.6398, -117.83158], [33.64152, -117.83748], [33.63963, -117.83211], [33.6397, -117.83144], [33.63984, -117.83199], [33.64123, -117.83735], [33.63987, -117.83205], [33.63973, -117.83153], [33.63969, -117.83141], [33.64212, -117.8373], [33.63948, -117.8313], [33.63908, -117.83148], [33.63964, -117.83132], [33.64182, -117.83737], [33.63979, -117.83165], [33.63971, -117.83149], [33.63959, -117.83183], [33.64254, -117.83645], [33.63973, -117.83151], [33.64176, -117.83735], [33.63979, -117.83162], [33.63976, -117.8316], [33.63986, -117.8319], [33.64173, -117.83741], [33.63985, -117.83199], [33.6391, -117.83349], [33.63958, -117.832], [33.63982, -117.83196], [33.63967, -117.83213], [33.63972, -117.83154], [33.67638, -117.86301], [33.64192, -117.83738], [33.6397, -117.83135], [33.64186, -117.83744], [33.63967, -117.83109], [33.64172, -117.83736], [33.6398, -117.83166], [33.63978, -117.83171], [33.64267, -117.83627], [33.63913, -117.83631], [33.63982, -117.83176], [33.64191, -117.83741], [33.63975, -117.83216], [33.6397, -117.83151], [33.6396, -117.83124], [33.64177, -117.83738], [33.63946, -117.83125], [33.63975, -117.83165], [33.64271, -117.83628], [33.64247, -117.83641], [33.63977, -117.83184], [33.64184, -117.83746], [33.63976, -117.83151], [33.6416, -117.83743], [33.63971, -117.83134], [33.64189, -117.83733], [33.63968, -117.83139], [33.64248, -117.83638], [33.63986, -117.83197], [33.64175, -117.83746], [33.63984, -117.83202], [33.63949, -117.83139], [33.63968, -117.83214], [33.63977, -117.83167], [33.63936, -117.83114], [33.63985, -117.83197], [33.63988, -117.83195], [33.64165, -117.83747], [33.63985, -117.83201], [33.64181, -117.83741], [33.67733, -117.85939], [33.64153, -117.8375], [33.63936, -117.83103], [33.63972, -117.83161], [33.6396, -117.83118], [33.6418, -117.83737], [33.63933, -117.83103], [33.63879, -117.83407], [33.63972, -117.8321], [33.63976, -117.83173], [33.63941, -117.83118], [33.63916, -117.83362], [33.63978, -117.83156], [33.64185, -117.83734], [33.63982, -117.83158], [33.63975, -117.83159], [33.63963, -117.83123], [33.6418, -117.83738], [33.63955, -117.83169], [33.63973, -117.83152], [33.6398, -117.83166], [33.63974, -117.83158], [33.63979, -117.83167], [33.63974, -117.83154], [33.63978, -117.83155], [33.63972, -117.83148], [33.63971, -117.83146], [33.64186, -117.8373], [33.6427, -117.83621], [33.64249, -117.83646], [33.63986, -117.83206], [33.64181, -117.83739], [33.63974, -117.83149], [33.64181, -117.83736], [33.63827, -117.83413], [33.63906, -117.83341], [33.63958, -117.83181], [33.63978, -117.83159], [33.63977, -117.83151], [33.6397, -117.83153], [33.63985, -117.83196], [33.64251, -117.83641], [33.63971, -117.8316], [33.64168, -117.83748], [33.63967, -117.83141], [33.64146, -117.83755], [33.63954, -117.83159], [33.63846, -117.83387], [33.63981, -117.8318], [33.64157, -117.83744], [33.62832, -117.80591], [33.64253, -117.83684], [33.6394, -117.83116], [33.63985, -117.83197], [33.63913, -117.83324], [33.63918, -117.83326], [33.63965, -117.83214], [33.63904, -117.83342], [33.63974, -117.83148], [33.63965, -117.832], [33.63972, -117.83147], [33.64185, -117.83745], [33.64264, -117.83622], [33.64253, -117.83637], [33.64263, -117.83623], [33.63882, -117.83566], [33.64251, -117.83645], [33.64252, -117.83645], [33.63958, -117.8311], [33.63971, -117.83147], [33.6398, -117.83163], [33.64184, -117.83735], [33.63987, -117.83202], [33.64192, -117.83734], [33.63966, -117.83203], [33.6398, -117.83173], [33.63969, -117.83134], [33.64166, -117.83739], [33.63938, -117.8311], [33.63986, -117.83195], [33.63976, -117.83164], [33.64166, -117.8374]]","[[33.64095883400891, -117.83376929037748], [33.6410982261445, -117.81391454870545], [33.6451448245798, -117.83044045459474]]","[4, 3, 3]","[1.5754660464823675, 1841.4800884414112, 556.0864506828335]",0.6418874263763428,585.2604472637177
5,200,95,"[33.64025067958688, -117.83443429448087]","[33.64086347312513, -117.83347417121188]",112.04311356816157,"[[33.63977, -117.83164], [33.64189, -117.83733], [33.63979, -117.83161], [33.64155, -117.83746], [33.63953, -117.83151], [33.63962, -117.83128], [33.63979, -117.83167], [33.63974, -117.83154], [33.63971, -117.83146], [33.64186, -117.8373], [33.63957, -117.83152], [33.6397, -117.83151], [33.63977, -117.83163], [33.63973, -117.83153], [33.63977, -117.83151], [33.6397, -117.83153], [33.63946, -117.83125], [33.63975, -117.83165], [33.63936, -117.83114], [33.63978, -117.83165], [33.63976, -117.8316], [33.64253, -117.83643], [33.6398, -117.83163], [33.64184, -117.83735], [33.63968, -117.83133], [33.64156, -117.83746], [33.6427, -117.83621], [33.64249, -117.83646], [33.63959, -117.83112], [33.64181, -117.83739], [33.63967, -117.83141], [33.64146, -117.83755], [33.64256, -117.83614], [33.64156, -117.83745], [33.63972, -117.83145], [33.63978, -117.83168], [33.6398, -117.83166], [33.63974, -117.83158], [33.63808, -117.83428], [33.63844, -117.83401], [33.63948, -117.83144], [33.63972, -117.83147], [33.63975, -117.83154], [33.64159, -117.83745], [33.63977, -117.83151], [33.64105, -117.83586], [33.63966, -117.83137], [33.63976, -117.83164], [33.6398, -117.83166], [33.63978, -117.83171], [33.63952, -117.83153], [33.63976, -117.83164], [33.63941, -117.83118], [33.64101, -117.83577], [33.63967, -117.83109], [33.64172, -117.83736], [33.63933, -117.83103], [33.63879, -117.83407], [33.63979, -117.83162], [33.63976, -117.8316], [33.63969, -117.83141], [33.64212, -117.8373], [33.63976, -117.83167], [33.63949, -117.83139], [33.63969, -117.83134], [33.64166, -117.83739], [33.64265, -117.83624], [33.64155, -117.83753], [33.64267, -117.83627], [33.63913, -117.83631], [33.63978, -117.83164], [33.64165, -117.8374], [33.63972, -117.83147], [33.64185, -117.83745], [33.63974, -117.83149], [33.64181, -117.83736], [33.63937, -117.83113], [33.6398, -117.83173], [33.63936, -117.83103], [33.63972, -117.83161], [33.63975, -117.83154], [33.63973, -117.8374], [33.6398, -117.83154], [33.63975, -117.83154], [33.63974, -117.83159], [33.64123, -117.83735], [33.63979, -117.83165], [33.63971, -117.83149], [33.63978, -117.83159], [33.64166, -117.8374], [33.6394, -117.83107], [33.63973, -117.83157], [33.6398, -117.83158], [33.64152, -117.83748], [33.6394, -117.83116], [33.6398, -117.83167], [33.63935, -117.83113], [33.63977, -117.83167], [33.63973, -117.83151], [33.64176, -117.83735], [33.63977, -117.83162], [33.64131, -117.8374], [33.63978, -117.83155], [33.63972, -117.83148], [33.63954, -117.83159], [33.63846, -117.83387], [33.63933, -117.83098], [33.63885, -117.83567], [33.64271, -117.83628], [33.64247, -117.83641], [33.63963, -117.83123], [33.6418, -117.83738], [33.63978, -117.83156], [33.64185, -117.83734], [33.63976, -117.83158], [33.64192, -117.83734], [33.63973, -117.83143], [33.64168, -117.83741], [33.63971, -117.8316], [33.64168, -117.83748], [33.63953, -117.83159], [33.64254, -117.83647], [33.63951, -117.83148], [33.63974, -117.83155], [33.6397, -117.83135], [33.64186, -117.83744], [33.63943, -117.83132], [33.63904, -117.83342], [33.63976, -117.83156], [33.64175, -117.83746], [33.64175, -117.83548], [33.6285, -117.8061], [33.64263, -117.83623], [33.63882, -117.83566], [33.63974, -117.83148], [33.63948, -117.83139], [33.63976, -117.83151], [33.6416, -117.83743], [33.64251, -117.83645], [33.64252, -117.83645], [33.6397, -117.83151], [33.64177, -117.83746], [33.63959, -117.83175], [33.63974, -117.83156], [33.63964, -117.83132], [33.64182, -117.83737], [33.67638, -117.86301], [33.64192, -117.83738], [33.63945, -117.83127], [33.63978, -117.83164], [33.63942, -117.83138], [33.63976, -117.83166], [33.63961, -117.83179], [33.63976, -117.83173], [33.63955, -117.83169], [33.63973, -117.83152], [33.63942, -117.83129], [33.64136, -117.83756], [33.63976, -117.83157], [33.64157, -117.83744], [33.63894, -117.83459], [33.56461, -117.8299], [33.63976, -117.83164], [33.64166, -117.8374], [33.64264, -117.83622], [33.64253, -117.83637], [33.63954, -117.83162], [33.63974, -117.83165], [33.6394, -117.83118], [33.63978, -117.83171], [33.63966, -117.83123], [33.64191, -117.83741], [33.63974, -117.83148], [33.64251, -117.83641], [33.63958, -117.8311], [33.63971, -117.83147], [33.67733, -117.85939], [33.64153, -117.8375], [33.63958, -117.83169], [33.6417, -117.83739], [33.63982, -117.83158], [33.63975, -117.83159], [33.63976, -117.83156], [33.64122, -117.83736], [33.63958, -117.83181], [33.63978, -117.83159], [33.6396, -117.83118], [33.6418, -117.83737], [33.63959, -117.83191], [33.63972, -117.83154]]","[[33.64514563787779, -117.83044534329079], [33.63767619403578, -117.83192854449821], [33.64823056847027, -117.82769679568781]]","[7, 4, 3]","[551.8502253550474, 381.49430785382185, 977.2135690982371]",0.37526869773864746,740.8494884967804
