n,radius,center,randomCenter,centerShift,endpoints,EPZs,EPZsFreq,distance,preprocessingTime,normalProcessingTime
0,1400,"[33.64025067958688, -117.83443429448087]","[33.633645104400664, -117.82981728314924]",848.6911777913041,"[[33.63049, -117.81512], [33.6445, -117.82169], [33.64643, -117.82949], [33.64341, -117.84045], [33.6465, -117.82955], [33.64305, -117.84009], [33.62832, -117.80591], [33.6427, -117.84034], [33.63027, -117.81457], [33.64449, -117.82174], [33.64627, -117.82943], [33.64306, -117.84009], [33.6464, -117.82945], [33.64309, -117.84016], [33.64637, -117.82955], [33.64301, -117.83995], [33.64659, -117.82931], [33.64433, -117.82169], [33.64645, -117.82954], [33.64311, -117.8401], [33.63048, -117.81509], [33.64498, -117.82178], [33.63045, -117.81507], [33.64447, -117.82172], [33.64632, -117.82949], [33.643, -117.84002], [33.64627, -117.82936], [33.64301, -117.83999], [33.63034, -117.81464], [33.64436, -117.82168], [33.64658, -117.82956], [33.64301, -117.84002], [33.63047, -117.81511], [33.6444, -117.82171], [33.63047, -117.815], [33.64452, -117.8217], [33.64578, -117.83516], [33.64315, -117.84017], [33.63034, -117.81459], [33.64452, -117.82172], [33.64651, -117.82956], [33.64302, -117.84003], [33.63033, -117.81465], [33.64464, -117.82176], [33.64544, -117.83521], [33.6285, -117.8061], [33.64697, -117.82969], [33.64317, -117.84021], [33.64657, -117.82938], [33.64321, -117.84024], [33.6304, -117.81482], [33.64496, -117.82178], [33.64632, -117.82955], [33.64309, -117.84013], [33.64642, -117.82954], [33.64331, -117.8403], [33.64634, -117.82953], [33.64299, -117.83997], [33.6471, -117.82973], [33.64313, -117.84007], [33.64638, -117.82951], [33.64314, -117.84009], [33.64642, -117.82953], [33.64308, -117.83999], [33.64696, -117.82969], [33.64338, -117.8404], [33.64642, -117.82949], [33.64301, -117.83999], [33.6305, -117.81516], [33.64451, -117.82172], [33.63038, -117.81476], [33.64428, -117.82167], [33.64548, -117.83517], [33.64541, -117.83539], [33.64565, -117.83517], [33.64269, -117.84065], [33.63034, -117.8146], [33.64442, -117.8217], [33.62962, -117.84505], [33.56461, -117.8299], [33.64769, -117.82993], [33.64305, -117.84004], [33.63049, -117.81517], [33.64441, -117.82166], [33.63033, -117.8146], [33.6446, -117.82173], [33.63037, -117.81476], [33.64435, -117.8217], [33.67733, -117.85939], [33.64301, -117.83999], [33.6463, -117.82952], [33.64327, -117.84028], [33.64644, -117.82955], [33.64308, -117.84006], [33.63037, -117.81471], [33.64429, -117.8217], [33.64649, -117.82958], [33.6431, -117.84011]]","[[33.63363220861628, -117.82978445979353], [33.644986991702346, -117.81962431067537], [33.63895485121624, -117.81141732737596]]","[28, 8, 8]","[3.36451384177831, 1573.7794683412567, 1805.8205971635637]",3.4035956859588623,280.4819438457489
1,1400,"[33.64025067958688, -117.83443429448087]","[33.64890238003311, -117.8292615918401]",1072.9029084824667,"[[33.65798, -117.84022], [33.6435, -117.84294], [33.63632, -117.82805], [33.63564, -117.82763], [33.6361, -117.828], [33.63552, -117.82761], [33.62832, -117.80591], [33.64219, -117.84267], [33.6581, -117.84057], [33.6435, -117.84292], [33.6579, -117.84022], [33.6436, -117.84311], [33.63034, -117.81459], [33.64824, -117.81416], [33.65811, -117.84065], [33.64353, -117.8431], [33.63556, -117.82758], [33.63591, -117.82768], [33.65789, -117.84009], [33.64351, -117.84301], [33.65795, -117.84018], [33.64353, -117.84294], [33.62962, -117.84505], [33.56461, -117.8299], [33.63033, -117.81465], [33.64822, -117.81417], [33.63568, -117.82761], [33.6356, -117.82759], [33.65791, -117.84018], [33.64349, -117.84299], [33.65798, -117.84023], [33.64353, -117.84315], [33.63604, -117.82805], [33.6435, -117.84297], [33.63546, -117.82798], [33.63546, -117.82757], [33.65794, -117.84027], [33.64357, -117.84306], [33.63045, -117.81507], [33.64824, -117.81413], [33.65795, -117.84021], [33.64349, -117.84314], [33.65671, -117.81734], [33.6435, -117.84314], [33.65669, -117.81735], [33.64352, -117.84324], [33.65808, -117.84044], [33.64222, -117.84272], [33.65801, -117.84029], [33.63714, -117.83531], [33.63034, -117.8146], [33.6482, -117.81406], [33.65796, -117.84025], [33.64354, -117.84326], [33.65809, -117.84053], [33.64352, -117.84312], [33.65797, -117.8403], [33.64357, -117.84339], [33.65784, -117.83992], [33.64351, -117.84312], [33.65799, -117.84028], [33.64352, -117.84321], [33.63037, -117.81476], [33.64823, -117.81405], [33.63722, -117.83516], [33.6372, -117.83518], [33.65809, -117.8405], [33.64349, -117.84291], [33.65792, -117.84012], [33.64354, -117.84329], [33.658, -117.8403], [33.6285, -117.8061], [33.63027, -117.81457], [33.64819, -117.81408], [33.65796, -117.84014], [33.64354, -117.84309], [33.65669, -117.81723], [33.64351, -117.84301], [33.65805, -117.84045], [33.64356, -117.84316], [33.63595, -117.828], [33.63617, -117.82773], [33.65788, -117.84011], [33.64352, -117.84321], [33.63621, -117.82804], [33.63557, -117.82757], [33.65789, -117.84018], [33.64356, -117.84324], [33.64974, -117.81415], [33.64355, -117.81495], [33.65783, -117.83994], [33.64356, -117.84333], [33.65784, -117.83994], [33.64355, -117.84329], [33.63542, -117.82783], [33.63725, -117.83514], [33.6361, -117.82769], [33.63616, -117.82773], [33.65793, -117.84017], [33.64354, -117.84317], [33.6305, -117.81516], [33.64825, -117.81415]]","[[33.64890613103811, -117.82927815363959], [33.64930002320589, -117.831997649458], [33.64975821493195, -117.83516163106945]]","[30, 12, 9]","[1.5916619003295038, 257.6083830720244, 555.4745396991676]",7.121991157531738,259.39716839790344
2,1400,"[33.64025067958688, -117.83443429448087]","[33.644865570665424, -117.82780194975706]",800.3611741428609,"[[33.65494, -117.83692], [33.64351, -117.84303], [33.65671, -117.81734], [33.6435, -117.84314], [33.6327, -117.82166], [33.64732, -117.8127], [33.6539, -117.83883], [33.64226, -117.84278], [33.63033, -117.8146], [33.64726, -117.81274], [33.65502, -117.83713], [33.64354, -117.84312], [33.65783, -117.83994], [33.64356, -117.84333], [33.63047, -117.815], [33.64732, -117.81268], [33.6551, -117.83719], [33.64351, -117.84286], [33.65654, -117.83379], [33.64352, -117.84283], [33.6304, -117.81482], [33.6473, -117.81272], [33.65492, -117.83693], [33.64354, -117.84293], [33.63285, -117.82198], [33.64743, -117.81296], [33.65811, -117.84065], [33.64353, -117.8431], [33.63307, -117.82235], [33.64745, -117.81301], [33.63034, -117.81459], [33.64738, -117.81277], [33.65798, -117.84023], [33.64353, -117.84315], [33.63038, -117.81476], [33.64741, -117.81283], [33.65498, -117.83703], [33.64351, -117.84304], [33.65796, -117.84014], [33.64354, -117.84309], [33.63267, -117.82164], [33.64735, -117.81278], [33.65794, -117.84027], [33.64357, -117.84306], [33.63278, -117.82189], [33.64739, -117.81282], [33.65657, -117.8339], [33.6435, -117.84284], [33.63289, -117.82208], [33.64732, -117.81276], [33.65784, -117.83994], [33.64355, -117.84329], [33.65788, -117.84011], [33.64352, -117.84321], [33.65789, -117.84009], [33.64351, -117.84301], [33.67638, -117.86301], [33.64352, -117.84282], [33.63393, -117.8354], [33.63491, -117.83753]]","[[33.644840451479816, -117.82781164945176], [33.63774984934607, -117.79979384784336], [33.65486244194944, -117.80678790495455]]","[13, 8, 5]","[2.927819992860226, 2715.569971302098, 2242.602454900174]",1.9038670063018799,106.14241051673889
3,1400,"[33.64025067958688, -117.83443429448087]","[33.634504565680864, -117.8249415385592]",1087.1154480307566,"[[33.6581, -117.84057], [33.6435, -117.84292], [33.64677, -117.82958], [33.64301, -117.83999], [33.65784, -117.83992], [33.64351, -117.84312], [33.65788, -117.84011], [33.64352, -117.84321], [33.64756, -117.82988], [33.64308, -117.83999], [33.62943, -117.81102], [33.64743, -117.81296], [33.65502, -117.83713], [33.64354, -117.84312], [33.65795, -117.84021], [33.64349, -117.84314], [33.64684, -117.82965], [33.64341, -117.84045], [33.62943, -117.81085], [33.64726, -117.8227], [33.65809, -117.8405], [33.64349, -117.84291], [33.6323, -117.83999], [33.63235, -117.83989], [33.62943, -117.81067], [33.64831, -117.82332], [33.65794, -117.84027], [33.64357, -117.84306], [33.65789, -117.84009], [33.64351, -117.84301], [33.65789, -117.84018], [33.64356, -117.84324], [33.65797, -117.8403], [33.64357, -117.84339], [33.64698, -117.82973], [33.64302, -117.84003], [33.658, -117.8403], [33.6285, -117.8061], [33.65792, -117.84012], [33.64354, -117.84329], [33.62943, -117.81081], [33.6473, -117.82281], [33.62943, -117.81094], [33.64699, -117.82259], [33.65795, -117.84018], [33.64353, -117.84294], [33.62941, -117.81081], [33.64715, -117.82267], [33.64693, -117.82971], [33.64309, -117.84013], [33.65805, -117.84045], [33.64356, -117.84316], [33.62941, -117.81094], [33.64824, -117.81413], [33.62942, -117.81071], [33.64712, -117.82272], [33.65671, -117.81734], [33.6435, -117.84314], [33.65809, -117.84053], [33.64352, -117.84312], [33.62941, -117.81056], [33.6473, -117.82279], [33.64664, -117.82959], [33.64249, -117.83671], [33.65798, -117.84022], [33.6435, -117.84294], [33.64662, -117.82959], [33.64165, -117.83739], [33.62944, -117.8107], [33.64745, -117.81301], [33.65796, -117.84014], [33.64354, -117.84309], [33.62943, -117.81075], [33.64749, -117.82289], [33.62941, -117.81083], [33.64741, -117.81283], [33.62943, -117.81064], [33.64171, -117.83752], [33.64703, -117.82974], [33.64177, -117.83746], [33.65669, -117.81723], [33.64351, -117.84301]]","[[33.63809414454063, -117.84270308024855], [33.651864685552795, -117.84488554399876], [33.639937698866255, -117.84226839670407]]","[8, 6, 6]","[1695.2719586193502, 2670.3579051342595, 1716.7534616225728]",0.9772801399230957,152.91157603263855
4,1400,"[33.64025067958688, -117.83443429448087]","[33.64638289507902, -117.83306193879665]",691.9731250944744,"[[33.65778, -117.83977], [33.64673, -117.84815], [33.6578, -117.8399], [33.64671, -117.84815], [33.65784, -117.83992], [33.64665, -117.8482], [33.62943, -117.81081], [33.65012, -117.8186], [33.63423, -117.82712], [33.63459, -117.82752], [33.67733, -117.85939], [33.64731, -117.84814], [33.63037, -117.81471], [33.64995, -117.81845], [33.63453, -117.82746], [33.63443, -117.82685], [33.65801, -117.84029], [33.64129, -117.84703], [33.65778, -117.83975], [33.64666, -117.84828], [33.62941, -117.81081], [33.6498, -117.81825], [33.6305, -117.81516], [33.64825, -117.81415], [33.63037, -117.81476], [33.64823, -117.81405], [33.63468, -117.82714], [33.6346, -117.82709], [33.65792, -117.84012], [33.64664, -117.84829], [33.65778, -117.83983], [33.64665, -117.8482], [33.63047, -117.81511], [33.64982, -117.81829], [33.6581, -117.84057], [33.6466, -117.84826], [33.65777, -117.83984], [33.64664, -117.84828], [33.64957, -117.81843], [33.64618, -117.81793], [33.63033, -117.8146], [33.64726, -117.81274], [33.63289, -117.82208], [33.64732, -117.81276], [33.6496, -117.81832], [33.64614, -117.8179], [33.62832, -117.80591], [33.64131, -117.84723], [33.65771, -117.83987], [33.65252, -117.84642], [33.65776, -117.83972], [33.65225, -117.84653], [33.63465, -117.82709], [33.63472, -117.82719], [33.62943, -117.81094], [33.65004, -117.81857], [33.65778, -117.83982], [33.64667, -117.84818], [33.65789, -117.84018], [33.64682, -117.84815], [33.65798, -117.84022], [33.64663, -117.84827], [33.62943, -117.81102], [33.64743, -117.81296], [33.6578, -117.83975], [33.64664, -117.84823], [33.6578, -117.83991], [33.64667, -117.84815], [33.63033, -117.81465], [33.64822, -117.81417], [33.63448, -117.82745], [33.63472, -117.8272], [33.65781, -117.83989], [33.65781, -117.83986], [33.65463, -117.82153], [33.64742, -117.84819], [33.63462, -117.82754], [33.63474, -117.82722], [33.63448, -117.82744], [33.63464, -117.8271], [33.65808, -117.84044], [33.64135, -117.8471], [33.65796, -117.84025], [33.64663, -117.84827], [33.63454, -117.82748], [33.63426, -117.82724], [33.62941, -117.81094], [33.64824, -117.81413]]","[[33.64639356226046, -117.83301825394817], [33.646432481088105, -117.83306115701232], [33.65363799510311, -117.81370781595955]]","[18, 14, 9]","[4.221648207560406, 5.500360693584013, 1967.4220833542927]",3.2108840942382812,323.535596370697
5,1400,"[33.64025067958688, -117.83443429448087]","[33.63347821859961, -117.84338822319074]",1119.9734367892722,"[[33.63848, -117.82937], [33.63888, -117.82962], [33.64677, -117.82958], [33.64645, -117.84544], [33.63542, -117.82783], [33.6454, -117.84889], [33.64436, -117.83536], [33.64536, -117.84892], [33.6581, -117.84057], [33.6466, -117.84826], [33.6305, -117.81516], [33.64825, -117.81415], [33.6496, -117.81832], [33.64614, -117.8179], [33.64756, -117.82988], [33.64603, -117.84549], [33.63468, -117.82714], [33.6346, -117.82709], [33.62943, -117.81067], [33.64831, -117.82332], [33.63453, -117.82746], [33.63443, -117.82685], [33.65811, -117.84065], [33.64611, -117.84551], [33.6579, -117.84022], [33.64608, -117.84548], [33.65654, -117.83379], [33.64622, -117.84548], [33.65798, -117.84023], [33.64614, -117.84546], [33.65783, -117.83994], [33.64599, -117.8455], [33.65798, -117.84022], [33.64663, -117.84827], [33.63962, -117.8302], [33.64647, -117.84543], [33.63462, -117.82754], [33.63474, -117.82722], [33.65809, -117.8405], [33.6464, -117.84546], [33.63047, -117.815], [33.64732, -117.81268], [33.65801, -117.84029], [33.64556, -117.84885], [33.63465, -117.82709], [33.63472, -117.82719], [33.63595, -117.828], [33.63617, -117.82773], [33.63871, -117.8292], [33.63891, -117.8296], [33.62943, -117.81094], [33.65004, -117.81857], [33.65791, -117.84018], [33.64612, -117.84549], [33.62943, -117.81081], [33.65012, -117.8186], [33.64634, -117.82953], [33.6462, -117.84546], [33.67638, -117.86301], [33.6464, -117.84543], [33.6463, -117.82952], [33.64617, -117.84546], [33.63027, -117.81457], [33.64819, -117.81408], [33.67733, -117.85939], [33.64731, -117.84814], [33.65778, -117.83983], [33.64665, -117.8482], [33.63448, -117.82745], [33.63472, -117.8272], [33.6578, -117.83991], [33.64667, -117.84815], [33.6304, -117.81482], [33.6473, -117.81272], [33.62224, -117.85086], [33.56461, -117.8299], [33.65498, -117.83703], [33.6462, -117.84548]]","[[33.636637701470825, -117.81049074434425], [33.66556388806696, -117.83438965901549], [33.63483347623343, -117.81111455910963]]","[9, 7, 6]","[3072.213718053909, 3655.3996806171604, 2998.0874524015803]",0.5258536338806152,187.35472464561462
6,1400,"[33.64025067958688, -117.83443429448087]","[33.63755506347189, -117.82666628853363]",780.2276803879902,"[[33.6301, -117.81406], [33.64732, -117.8127], [33.63023, -117.8143], [33.65002, -117.82419], [33.62941, -117.81081], [33.6498, -117.81825], [33.65809, -117.84053], [33.64352, -117.84312], [33.64987, -117.83063], [33.64341, -117.84045], [33.62943, -117.81081], [33.65012, -117.8186], [33.63012, -117.81402], [33.65005, -117.82413], [33.65798, -117.84022], [33.64663, -117.84827], [33.65778, -117.83975], [33.64666, -117.84828], [33.63022, -117.81436], [33.65003, -117.82418], [33.67638, -117.86301], [33.6464, -117.84543], [33.63022, -117.81436], [33.64823, -117.81405], [33.64957, -117.81843], [33.63625, -117.81164], [33.65771, -117.83987], [33.65252, -117.84642], [33.64986, -117.83061], [33.64321, -117.84018], [33.62789, -117.81634], [33.65007, -117.8241], [33.64981, -117.83059], [33.64356, -117.84054], [33.63019, -117.81423], [33.64732, -117.81268], [33.65778, -117.83977], [33.64673, -117.84815], [33.63006, -117.81394], [33.64735, -117.81278], [33.6301, -117.81401], [33.65008, -117.82398], [33.63008, -117.81403], [33.64995, -117.81845], [33.64842, -117.83521], [33.64328, -117.84023], [33.65789, -117.84018], [33.64682, -117.84815], [33.64984, -117.83063], [33.64318, -117.84019], [33.65669, -117.81735], [33.64352, -117.84324], [33.65669, -117.81723], [33.64351, -117.84301], [33.65498, -117.83703], [33.6462, -117.84548], [33.64984, -117.83066], [33.64351, -117.84059], [33.6579, -117.84022], [33.64608, -117.84548], [33.65789, -117.84009], [33.64351, -117.84301], [33.65809, -117.8405], [33.6464, -117.84546], [33.64982, -117.83067], [33.64647, -117.84543], [33.62832, -117.80591], [33.64131, -117.84723], [33.63009, -117.81405], [33.6454, -117.84889], [33.62943, -117.81064], [33.64241, -117.84132], [33.63215, -117.84037], [33.63204, -117.84077]]","[[33.63757986402252, -117.82666650708435], [33.6546349999114, -117.82757056910935], [33.6566384548276, -117.82766305574356]]","[10, 8, 8]","[2.7508490506763317, 1896.294762021689, 2118.67266070191]",0.7956454753875732,207.70981907844543
7,1400,"[33.64025067958688, -117.83443429448087]","[33.63361390642228, -117.84304726182198]",1086.4624552619132,"[[33.65801, -117.84029], [33.64556, -117.84885], [33.62941, -117.81056], [33.6473, -117.82279], [33.65788, -117.84011], [33.64611, -117.84548], [33.64974, -117.81415], [33.64355, -117.81495], [33.65811, -117.84065], [33.64611, -117.84551], [33.64634, -117.82953], [33.6462, -117.84546], [33.63809, -117.82884], [33.63859, -117.8291], [33.65789, -117.84009], [33.64617, -117.8455], [33.63006, -117.81394], [33.64735, -117.81278], [33.63027, -117.81457], [33.64819, -117.81408], [33.65778, -117.83982], [33.64667, -117.84818], [33.63595, -117.828], [33.63617, -117.82773], [33.62943, -117.81067], [33.64831, -117.82332], [33.64842, -117.83521], [33.64661, -117.8454], [33.64551, -117.83517], [33.64536, -117.84892], [33.63454, -117.82748], [33.63426, -117.82724], [33.63049, -117.81517], [33.64441, -117.82166], [33.65669, -117.81735], [33.64633, -117.84546], [33.63008, -117.81403], [33.64995, -117.81845], [33.62832, -117.80591], [33.6453, -117.84892], [33.63022, -117.81436], [33.64823, -117.81405], [33.65654, -117.83379], [33.64622, -117.84548], [33.64984, -117.83066], [33.6461, -117.84548], [33.65778, -117.83977], [33.64673, -117.84815], [33.65463, -117.82153], [33.64742, -117.84819], [33.64957, -117.81843], [33.63625, -117.81164], [33.65799, -117.84028], [33.64618, -117.8455], [33.64982, -117.83067], [33.64647, -117.84543], [33.63465, -117.82709], [33.63472, -117.82719], [33.63023, -117.8143], [33.65002, -117.82419], [33.62941, -117.81094], [33.64824, -117.81413], [33.6578, -117.83975], [33.64664, -117.84823], [33.65808, -117.84044], [33.6455, -117.84886], [33.65794, -117.84027], [33.64632, -117.84543], [33.6463, -117.82952], [33.64617, -117.84546], [33.63858, -117.82903], [33.63846, -117.82894], [33.6579, -117.84022], [33.64608, -117.84548], [33.65776, -117.83972], [33.65225, -117.84653], [33.62224, -117.85086], [33.56461, -117.8299], [33.63047, -117.81511], [33.64982, -117.81829], [33.658, -117.8403], [33.6285, -117.8061], [33.6304, -117.81482], [33.6473, -117.81272], [33.63871, -117.8292], [33.63851, -117.82893], [33.65498, -117.83703], [33.6462, -117.84548], [33.63448, -117.82745], [33.63472, -117.8272], [33.64981, -117.83059], [33.6463, -117.84545], [33.65657, -117.8339], [33.64661, -117.8454], [33.6305, -117.81516], [33.64825, -117.81415]]","[[33.65439988892715, -117.84128616356735], [33.63280141224314, -117.82101238668105], [33.64598204779992, -117.84115394310906]]","[6, 5, 4]","[2311.2788024910396, 2046.3802795701454, 1383.0228318687193]",0.27604007720947266,337.7152409553528
8,1400,"[33.64025067958688, -117.83443429448087]","[33.633543365897644, -117.82725531298613]",998.5305834916994,"[[33.65463, -117.82153], [33.64742, -117.84819], [33.65771, -117.83987], [33.65252, -117.84642], [33.62966, -117.81281], [33.64549, -117.82191], [33.64974, -117.81415], [33.64355, -117.81495], [33.64756, -117.82988], [33.64603, -117.84549], [33.65797, -117.8403], [33.64357, -117.84339], [33.6578, -117.8399], [33.64671, -117.84815], [33.64984, -117.83063], [33.64318, -117.84019], [33.6581, -117.84057], [33.6466, -117.84826], [33.65796, -117.84014], [33.64354, -117.84309], [33.65809, -117.84053], [33.64352, -117.84312], [33.6463, -117.82952], [33.64617, -117.84546], [33.6579, -117.84022], [33.64608, -117.84548], [33.62963, -117.81279], [33.64546, -117.8219], [33.65791, -117.84018], [33.64612, -117.84549], [33.64987, -117.83063], [33.64341, -117.84045], [33.65798, -117.84023], [33.64614, -117.84546], [33.64664, -117.82959], [33.64269, -117.83898], [33.65778, -117.83983], [33.64665, -117.8482], [33.62943, -117.81085], [33.64726, -117.8227], [33.65789, -117.84018], [33.64682, -117.84815], [33.6496, -117.81832], [33.64614, -117.8179], [33.65784, -117.83994], [33.64355, -117.84329], [33.62963, -117.81261], [33.64726, -117.81274], [33.62971, -117.81287], [33.65005, -117.82413], [33.62957, -117.81245], [33.64545, -117.82193], [33.64986, -117.83061], [33.64321, -117.84018], [33.62943, -117.81102], [33.64743, -117.81296], [33.62942, -117.81071], [33.64712, -117.82272], [33.62967, -117.81289], [33.64732, -117.8127], [33.62947, -117.8122], [33.64819, -117.81408], [33.65657, -117.8339], [33.64661, -117.8454], [33.65795, -117.84021], [33.64349, -117.84314], [33.6296, -117.81261], [33.64732, -117.81276], [33.62967, -117.81281], [33.6473, -117.81272], [33.64677, -117.82958], [33.64645, -117.84544], [33.62941, -117.81094], [33.64824, -117.81413], [33.64982, -117.83067], [33.64647, -117.84543], [33.62968, -117.81286], [33.64732, -117.81268], [33.658, -117.8403], [33.6285, -117.8061], [33.62968, -117.81289], [33.64735, -117.81278], [33.6295, -117.81209], [33.6482, -117.81406], [33.62965, -117.81282], [33.64558, -117.82197], [33.65778, -117.83975], [33.64666, -117.84828], [33.62832, -117.80591], [33.6453, -117.84892], [33.64842, -117.83521], [33.64661, -117.8454], [33.65809, -117.8405], [33.6464, -117.84546]]","[[33.63302238431203, -117.81116516063052], [33.64204224153863, -117.8418548684434], [33.634829203193775, -117.81078001154809]]","[9, 6, 6]","[1493.9604734605189, 1650.2149109742898, 1535.1996674634158]",0.40433549880981445,61795.368698358536
