n,radius,center,randomCenter,centerShift,endpoints,EPZs,EPZsFreq,distance,preprocessingTime,normalProcessingTime
0,1400,"[33.64025067958688, -117.83443429448087]","[33.64633164235773, -117.82656268962917]",994.068004259142,"[[33.6338, -117.8246], [33.64621, -117.81147], [33.65515, -117.83739], [33.64382, -117.84157], [33.65589, -117.83704], [33.64334, -117.84127], [33.63379, -117.82472], [33.64618, -117.8114], [33.65516, -117.83744], [33.64324, -117.84128], [33.65655, -117.8176], [33.64346, -117.84151], [33.63379, -117.82486], [33.64621, -117.81139], [33.6362, -117.83607], [33.56461, -117.8299], [33.65523, -117.83753], [33.64333, -117.84127], [33.65523, -117.83752], [33.64334, -117.84126], [33.63378, -117.82454], [33.64618, -117.81143], [33.65524, -117.8375], [33.6433, -117.84126], [33.63379, -117.82467], [33.6462, -117.81142], [33.63376, -117.82469], [33.64614, -117.81127], [33.6539, -117.83883], [33.64252, -117.84136], [33.63378, -117.82465], [33.64612, -117.81131], [33.65523, -117.83758], [33.64338, -117.84126], [33.65711, -117.83517], [33.63901, -117.83889], [33.65519, -117.83748], [33.64327, -117.84129], [33.65519, -117.83744], [33.64327, -117.84128], [33.63379, -117.82477], [33.6433, -117.84126], [33.65383, -117.83879], [33.64236, -117.84151], [33.63373, -117.82452], [33.64619, -117.81134], [33.65706, -117.83505], [33.64331, -117.84128], [33.65383, -117.8388], [33.64238, -117.8414], [33.65521, -117.83749], [33.64331, -117.84126], [33.6337, -117.82438], [33.6461, -117.81128], [33.63379, -117.82457], [33.63621, -117.83722], [33.63371, -117.8243], [33.64616, -117.8114], [33.65517, -117.83755], [33.64331, -117.8413], [33.64956, -117.81165], [33.63793, -117.81515], [33.65525, -117.83767], [33.64334, -117.84125], [33.65521, -117.83748], [33.64328, -117.8413], [33.63378, -117.82461], [33.6462, -117.81137], [33.65526, -117.83751], [33.64344, -117.84149], [33.63379, -117.82474], [33.64622, -117.81147], [33.64957, -117.81167], [33.63792, -117.81514], [33.63538, -117.83529], [33.63599, -117.83633], [33.63374, -117.82458], [33.64617, -117.81131], [33.65521, -117.83748], [33.64336, -117.84124], [33.65523, -117.83751], [33.64338, -117.84152], [33.63379, -117.82486], [33.64619, -117.81144], [33.65527, -117.83753], [33.64328, -117.84136], [33.63378, -117.82474], [33.64616, -117.81136], [33.63373, -117.82435], [33.63682, -117.83713], [33.63376, -117.82465], [33.64616, -117.81134], [33.63377, -117.82471], [33.64616, -117.81139], [33.63379, -117.82479], [33.63375, -117.82526], [33.63376, -117.82464], [33.64621, -117.81142], [33.65524, -117.83752], [33.64346, -117.84133], [33.65704, -117.83496], [33.64331, -117.84122], [33.65651, -117.8176], [33.64379, -117.84167], [33.6567, -117.8172], [33.6433, -117.84124], [33.65706, -117.83513], [33.64331, -117.84141], [33.65542, -117.83779], [33.64336, -117.84128], [33.63369, -117.82434], [33.64631, -117.81132]]","[[33.64632443526829, -117.82656460710741], [33.6446003042857, -117.82531443080296], [33.642792906995716, -117.82420877189627]]","[63, 21, 14]","[0.8189328914796961, 224.24463078094655, 449.15758566904697]",6.962604522705078,384.41557574272156
1,1400,"[33.64025067958688, -117.83443429448087]","[33.633140811712366, -117.82736436182313]",1025.7282490264597,"[[33.63113, -117.84237], [33.63113, -117.84239], [33.62957, -117.81237], [33.6462, -117.81137], [33.65383, -117.83879], [33.64236, -117.84151], [33.6295, -117.81205], [33.64622, -117.81147], [33.65704, -117.83496], [33.64331, -117.84122], [33.6312, -117.84234], [33.56461, -117.8299], [33.65589, -117.83704], [33.64334, -117.84127], [33.65521, -117.83748], [33.64328, -117.8413], [33.62947, -117.81198], [33.64493, -117.82176], [33.64397, -117.83553], [33.6425, -117.83759], [33.65526, -117.83751], [33.64344, -117.84149], [33.65521, -117.83748], [33.64336, -117.84124], [33.6296, -117.81253], [33.64488, -117.82176], [33.62966, -117.81281], [33.64549, -117.82191], [33.65519, -117.83748], [33.64327, -117.84129], [33.64587, -117.82938], [33.64243, -117.83764], [33.62952, -117.81227], [33.64616, -117.81134], [33.65383, -117.8388], [33.64238, -117.8414], [33.62207, -117.82006], [33.62947, -117.81235], [33.62964, -117.81274], [33.64504, -117.82178], [33.62957, -117.81254], [33.64621, -117.81142], [33.62964, -117.81264], [33.64501, -117.8218], [33.62964, -117.81275], [33.64612, -117.81131], [33.62947, -117.8122], [33.64495, -117.8218], [33.64597, -117.8294], [33.64247, -117.8378], [33.65523, -117.83752], [33.64334, -117.84126], [33.64572, -117.8294], [33.64255, -117.83744], [33.64957, -117.81167], [33.63601, -117.81258], [33.62952, -117.81224], [33.64616, -117.81136]]","[[33.651186177071274, -117.83315681434117], [33.65230523245956, -117.83489213960218], [33.66217730496606, -117.85012186893124]]","[6, 6, 6]","[2072.399863654571, 2237.417714410649, 3850.849180464222]",1.251192331314087,125.59361529350281
2,1400,"[33.64025067958688, -117.83443429448087]","[33.632763017319704, -117.82985534162812]",932.8461290013412,"[[33.64544, -117.82934], [33.64279, -117.83917], [33.63042, -117.81486], [33.6462, -117.81142], [33.64547, -117.82933], [33.64277, -117.83911], [33.63027, -117.81453], [33.64619, -117.81144], [33.64494, -117.83526], [33.6428, -117.83914], [33.63038, -117.81472], [33.64405, -117.82173], [33.63037, -117.81461], [33.64425, -117.8217], [33.65521, -117.83749], [33.64331, -117.84126], [33.64555, -117.82934], [33.64289, -117.83914], [33.62964, -117.81275], [33.64612, -117.81131], [33.63033, -117.81465], [33.64614, -117.81127], [33.62207, -117.82006], [33.62947, -117.81235], [33.64567, -117.82938], [33.64278, -117.83906], [33.64561, -117.82938], [33.64271, -117.83924], [33.63033, -117.81466], [33.64404, -117.82168], [33.6455, -117.82935], [33.6428, -117.83915], [33.65523, -117.83758], [33.64338, -117.84126], [33.65517, -117.83755], [33.64331, -117.8413], [33.63036, -117.81458], [33.64618, -117.81143], [33.65523, -117.83752], [33.64334, -117.84126], [33.6567, -117.8172], [33.6433, -117.84124], [33.63036, -117.81469], [33.6461, -117.81128], [33.65525, -117.83767], [33.64334, -117.84125], [33.65542, -117.83779], [33.64336, -117.84128], [33.6304, -117.81482], [33.64616, -117.8114], [33.63034, -117.81459], [33.64621, -117.81147], [33.63038, -117.81477], [33.64358, -117.82169], [33.65523, -117.83751], [33.64338, -117.84152], [33.62952, -117.81224], [33.64616, -117.81136], [33.67638, -117.86301], [33.64275, -117.83911], [33.63029, -117.81452], [33.64631, -117.81132], [33.65383, -117.8388], [33.64238, -117.8414], [33.64552, -117.82933], [33.64292, -117.83914], [33.63038, -117.81476], [33.64428, -117.82167], [33.64572, -117.8294], [33.64284, -117.83913], [33.64563, -117.82933], [33.64275, -117.8391], [33.65706, -117.83505], [33.64331, -117.84128], [33.65524, -117.8375], [33.6433, -117.84126], [33.65527, -117.83753], [33.64328, -117.84136], [33.6457, -117.82935], [33.6428, -117.83929], [33.64566, -117.82932], [33.64283, -117.83912], [33.64557, -117.82934], [33.6428, -117.83914], [33.62964, -117.81264], [33.64501, -117.8218], [33.64956, -117.81165], [33.63793, -117.81515]]","[[33.63657100957064, -117.83125062863968], [33.63143426417201, -117.81285406360792], [33.633195049766194, -117.81191542326347]]","[7, 6, 4]","[441.7594721579499, 1584.268276949043, 1665.1590843010656]",1.23280668258667,195.2270486354828
3,1400,"[33.64025067958688, -117.83443429448087]","[33.645748796486146, -117.83207118544654]",648.0359478304848,"[[33.65744, -117.83782], [33.64716, -117.84709], [33.63396, -117.82657], [33.64739, -117.817], [33.65743, -117.83782], [33.64723, -117.84763], [33.6295, -117.81205], [33.64622, -117.81147], [33.65742, -117.83784], [33.64714, -117.84713], [33.63042, -117.81486], [33.6462, -117.81142], [33.65733, -117.83871], [33.6285, -117.8061], [33.65748, -117.83881], [33.64143, -117.84649], [33.65744, -117.83848], [33.64712, -117.84709], [33.65744, -117.83782], [33.64725, -117.84749], [33.65767, -117.83867], [33.65081, -117.84594], [33.65719, -117.83867], [33.64713, -117.8471], [33.65742, -117.83785], [33.64722, -117.84762], [33.65743, -117.8378], [33.64716, -117.84717], [33.63387, -117.82631], [33.64733, -117.81694], [33.6339, -117.82647], [33.64727, -117.81668], [33.65746, -117.83902], [33.64713, -117.8471], [33.64957, -117.81167], [33.63601, -117.81258], [33.63385, -117.82621], [33.64741, -117.81708], [33.63379, -117.82472], [33.64618, -117.8114], [33.63389, -117.82649], [33.64733, -117.81696], [33.63383, -117.82617], [33.64733, -117.81701], [33.63038, -117.81477], [33.64739, -117.8171], [33.65744, -117.8388], [33.6413, -117.84687], [33.6574, -117.83794], [33.64718, -117.84722], [33.6499, -117.8174], [33.64388, -117.81695], [33.63374, -117.82458], [33.64617, -117.81131], [33.65743, -117.83799], [33.64714, -117.84708], [33.63388, -117.82638], [33.64732, -117.81696], [33.65743, -117.83858], [33.6498, -117.8467], [33.62964, -117.81275], [33.64612, -117.81131], [33.65744, -117.83854], [33.64712, -117.84711], [33.65742, -117.83792], [33.64725, -117.84755], [33.63029, -117.81452], [33.64631, -117.81132], [33.63329, -117.83646], [33.63415, -117.8383], [33.63027, -117.81453], [33.64619, -117.81144], [33.65726, -117.83869], [33.65708, -117.83892]]","[[33.64576858672359, -117.8320778651791], [33.653905751480444, -117.83687324425264], [33.645422686137046, -117.84779356765578]]","[42, 16, 10]","[2.2808408983439077, 1008.4517360207692, 1458.9618578078387]",3.6957738399505615,215.19606566429138
4,1400,"[33.64025067958688, -117.83443429448087]","[33.63348596655564, -117.84290122860082]",1086.290074657133,"[[33.62964, -117.81274], [33.64504, -117.82178], [33.6411, -117.82998], [33.64596, -117.84551], [33.62947, -117.81198], [33.64493, -117.82176], [33.65746, -117.83902], [33.64713, -117.8471], [33.6404, -117.8301], [33.64635, -117.84547], [33.65521, -117.83749], [33.64618, -117.84547], [33.6304, -117.81482], [33.64616, -117.8114], [33.63857, -117.82902], [33.63858, -117.82901], [33.63373, -117.82435], [33.63494, -117.82786], [33.65742, -117.83792], [33.64725, -117.84755], [33.62246, -117.85069], [33.56461, -117.8299], [33.65524, -117.83752], [33.64614, -117.84548], [33.65523, -117.83751], [33.64635, -117.84545], [33.63036, -117.81469], [33.6461, -117.81128], [33.62952, -117.81227], [33.64616, -117.81134], [33.65744, -117.83782], [33.64716, -117.84709], [33.67638, -117.86301], [33.64592, -117.8455], [33.62952, -117.81224], [33.64616, -117.81136], [33.65383, -117.83879], [33.64556, -117.84885], [33.62966, -117.81281], [33.64549, -117.82191], [33.65542, -117.83779], [33.64611, -117.84548], [33.65742, -117.83785], [33.64722, -117.84762], [33.63387, -117.82631], [33.64733, -117.81694], [33.64557, -117.82934], [33.64596, -117.84554], [33.62207, -117.82006], [33.62947, -117.81235], [33.62934, -117.85742], [33.62395, -117.85298], [33.63038, -117.81477], [33.64739, -117.8171], [33.65515, -117.83739], [33.64662, -117.84541]]","[[33.63654768297411, -117.8102997184545], [33.656516878879664, -117.83598371691906], [33.63302727557412, -117.81126646090159]]","[8, 8, 6]","[3043.7076635514454, 2633.8670060470067, 2935.5119597993803]",0.5717833042144775,126.78492403030396
5,1400,"[33.64025067958688, -117.83443429448087]","[33.63921473681858, -117.82389858114335]",984.1599829907078,"[[33.62991, -117.81354], [33.64616, -117.8112], [33.6567, -117.8172], [33.6433, -117.84124], [33.62993, -117.81352], [33.64617, -117.8113], [33.65523, -117.83752], [33.64334, -117.84126], [33.67733, -117.85939], [33.64269, -117.83907], [33.6507, -117.83083], [33.64268, -117.83884], [33.62994, -117.8136], [33.64264, -117.83869], [33.65767, -117.83867], [33.65081, -117.84594], [33.62964, -117.81264], [33.64607, -117.8108], [33.65064, -117.83082], [33.64289, -117.83914], [33.6299, -117.81346], [33.64612, -117.81122], [33.65065, -117.83086], [33.64284, -117.83913], [33.65744, -117.83782], [33.64716, -117.84709], [33.65074, -117.83064], [33.6428, -117.83915], [33.64758, -117.8352], [33.6428, -117.83914], [33.65589, -117.83704], [33.64334, -117.84127], [33.65059, -117.83079], [33.64596, -117.84551], [33.62989, -117.81342], [33.64612, -117.81108], [33.65064, -117.83082], [33.64269, -117.83893], [33.65524, -117.8375], [33.6433, -117.84126], [33.65726, -117.83869], [33.65708, -117.83892], [33.65071, -117.83082], [33.64275, -117.8391], [33.62993, -117.81347], [33.64611, -117.81098], [33.62957, -117.81237], [33.64614, -117.8108], [33.65061, -117.83079], [33.64283, -117.83912], [33.65743, -117.83782], [33.64723, -117.84763], [33.65655, -117.8176], [33.64346, -117.84151], [33.65733, -117.83871], [33.6285, -117.8061], [33.62993, -117.81352], [33.64614, -117.81127], [33.62993, -117.81353], [33.64613, -117.81106], [33.6299, -117.81349], [33.64614, -117.81126], [33.65045, -117.83078], [33.64267, -117.83881], [33.62971, -117.81287], [33.64613, -117.81121], [33.6299, -117.81344], [33.64614, -117.8111], [33.64974, -117.81538], [33.63751, -117.80888], [33.65743, -117.8378], [33.64716, -117.84717], [33.65383, -117.83879], [33.64556, -117.84885], [33.65091, -117.83093], [33.64271, -117.83924], [33.65742, -117.83792], [33.64725, -117.84755], [33.62832, -117.80591], [33.64266, -117.83856], [33.65523, -117.83753], [33.64333, -117.84127], [33.6506, -117.83081], [33.64262, -117.83862], [33.62952, -117.81227], [33.64612, -117.81104], [33.62789, -117.81634], [33.64618, -117.81121], [33.65059, -117.83081], [33.64268, -117.83883], [33.65527, -117.83753], [33.64328, -117.84136], [33.65742, -117.83785], [33.64722, -117.84762]]","[[33.63922317257568, -117.82388433616427], [33.660109159363365, -117.82750529414542], [33.62820250643161, -117.8142171225205]]","[10, 5, 5]","[1.6192502083011355, 2341.5524770492148, 1516.1554110174043]",1.1521470546722412,293.6418900489807
6,1400,"[33.64025067958688, -117.83443429448087]","[33.63327220235469, -117.8259293284004]",1105.3168291893676,"[[33.62945, -117.81061], [33.64621, -117.81147], [33.62947, -117.81134], [33.64616, -117.8114], [33.62944, -117.81087], [33.64562, -117.82198], [33.65524, -117.83752], [33.64614, -117.84548], [33.62942, -117.81073], [33.64558, -117.82197], [33.62943, -117.81069], [33.6433, -117.84126], [33.64576, -117.82936], [33.64154, -117.83743], [33.65059, -117.83081], [33.64268, -117.83883], [33.65742, -117.83792], [33.64725, -117.84755], [33.62945, -117.81084], [33.64614, -117.8111], [33.65704, -117.83496], [33.64331, -117.84122], [33.62934, -117.85742], [33.62395, -117.85298], [33.65059, -117.83079], [33.64596, -117.84551], [33.65519, -117.83744], [33.64327, -117.84128], [33.64956, -117.81165], [33.63603, -117.81118], [33.6506, -117.83081], [33.64262, -117.83862], [33.62945, -117.81117], [33.64614, -117.81126], [33.62942, -117.81152], [33.64264, -117.83869], [33.64557, -117.82934], [33.64596, -117.84554], [33.62944, -117.81141], [33.6461, -117.81128], [33.64957, -117.81167], [33.63607, -117.81119], [33.62246, -117.85069], [33.56461, -117.8299], [33.65651, -117.8176], [33.64379, -117.84167], [33.62944, -117.8107], [33.64616, -117.81136], [33.64569, -117.82934], [33.64635, -117.84547], [33.65542, -117.83779], [33.64611, -117.84548], [33.62944, -117.81088], [33.64614, -117.8108], [33.62941, -117.8109], [33.64546, -117.8219], [33.62144, -117.82052], [33.62935, -117.81096], [33.64591, -117.8294], [33.64277, -117.83911], [33.62943, -117.81073], [33.64549, -117.82191], [33.65743, -117.83799], [33.64714, -117.84708], [33.62944, -117.81085], [33.64544, -117.82191], [33.67733, -117.85939], [33.64269, -117.83907], [33.65742, -117.83784], [33.64714, -117.84713], [33.6574, -117.83794], [33.64718, -117.84722], [33.62832, -117.80591], [33.64266, -117.83856]]","[[33.63326814461312, -117.82590360801169], [33.63124164450095, -117.81093868583261], [33.62604214660181, -117.80925212924305]]","[11, 7, 6]","[2.4284060775066862, 1408.9637122929169, 1742.8285295368028]",0.37645626068115234,181.24236679077148
7,1400,"[33.64025067958688, -117.83443429448087]","[33.638616845237195, -117.82519988529863]",875.6632449888759,"[[33.63004, -117.81395], [33.6477, -117.81463], [33.62968, -117.81297], [33.64619, -117.81144], [33.63006, -117.81397], [33.64621, -117.81139], [33.62964, -117.81264], [33.64607, -117.8108], [33.65061, -117.83079], [33.64294, -117.83939], [33.65706, -117.83505], [33.64331, -117.84128], [33.65054, -117.8308], [33.64293, -117.83946], [33.62964, -117.81275], [33.64612, -117.81131], [33.6567, -117.8172], [33.6433, -117.84124], [33.65744, -117.83782], [33.64725, -117.84749], [33.6299, -117.81346], [33.64612, -117.81122], [33.65064, -117.83082], [33.6429, -117.83948], [33.6507, -117.83083], [33.64291, -117.83952], [33.62971, -117.81287], [33.64613, -117.81121], [33.63005, -117.81394], [33.64767, -117.81467], [33.62941, -117.8109], [33.65081, -117.82109], [33.62944, -117.81088], [33.64614, -117.8108], [33.62957, -117.81254], [33.64621, -117.81142], [33.65655, -117.8176], [33.64346, -117.84151], [33.65051, -117.83075], [33.64635, -117.84547], [33.62944, -117.81085], [33.65082, -117.82116], [33.65527, -117.83753], [33.64328, -117.84136], [33.62993, -117.81352], [33.64614, -117.81127], [33.62947, -117.81198], [33.65084, -117.8211], [33.63006, -117.81399], [33.65081, -117.82099], [33.62943, -117.81069], [33.6433, -117.84126], [33.62246, -117.85069], [33.56461, -117.8299], [33.62952, -117.81227], [33.64612, -117.81104], [33.65744, -117.8388], [33.6413, -117.84687], [33.62989, -117.81342], [33.64612, -117.81108], [33.62944, -117.81087], [33.65054, -117.82], [33.65524, -117.8375], [33.6433, -117.84126], [33.65719, -117.83867], [33.64713, -117.8471], [33.62144, -117.82052], [33.62935, -117.81096], [33.62943, -117.81073], [33.65077, -117.82091], [33.65059, -117.83081], [33.64288, -117.83984], [33.62947, -117.8122], [33.6507, -117.8207], [33.65059, -117.83078], [33.64291, -117.83947], [33.62993, -117.81352], [33.64617, -117.8113], [33.62964, -117.81274], [33.65077, -117.8208], [33.65521, -117.83748], [33.64336, -117.84124], [33.65057, -117.83079], [33.64291, -117.83941], [33.62993, -117.81353], [33.64613, -117.81106], [33.65523, -117.83753], [33.64333, -117.84127], [33.63001, -117.81388], [33.64619, -117.81134], [33.67638, -117.86301], [33.64592, -117.8455], [33.62991, -117.81354], [33.64616, -117.8112], [33.63008, -117.81399], [33.64763, -117.81463], [33.65589, -117.83704], [33.64334, -117.84127], [33.65742, -117.83792], [33.64725, -117.84755], [33.65744, -117.83782], [33.64716, -117.84709], [33.6574, -117.83794], [33.64718, -117.84722], [33.65542, -117.83779], [33.64611, -117.84548], [33.65058, -117.8308], [33.64291, -117.8394], [33.64974, -117.81538], [33.63751, -117.80888]]","[[33.62890345506029, -117.83527683872882], [33.63164302436843, -117.81291518079473], [33.63335955101399, -117.81219672790905]]","[9, 8, 7]","[1426.4722423420312, 1377.440109458155, 1339.929659012381]",0.47337841987609863,419.7191574573517
8,1400,"[33.64025067958688, -117.83443429448087]","[33.646918387734075, -117.82694772755936]",1014.5443432251938,"[[33.65557, -117.83812], [33.64611, -117.84548], [33.62991, -117.81354], [33.64616, -117.8112], [33.65556, -117.83808], [33.64339, -117.84149], [33.6574, -117.83794], [33.64718, -117.84722], [33.63421, -117.82714], [33.64645, -117.81181], [33.65556, -117.83805], [33.64614, -117.84548], [33.65711, -117.83625], [33.6434, -117.84153], [33.62947, -117.81198], [33.64647, -117.81185], [33.6556, -117.83811], [33.64344, -117.84149], [33.6556, -117.83811], [33.64334, -117.84147], [33.65767, -117.83867], [33.65081, -117.84594], [33.62993, -117.81352], [33.64614, -117.81127], [33.65742, -117.83785], [33.64722, -117.84762], [33.62942, -117.81152], [33.64241, -117.84132], [33.6567, -117.81722], [33.64384, -117.84164], [33.67638, -117.86301], [33.64592, -117.8455], [33.65713, -117.83599], [33.64345, -117.84153], [33.65556, -117.8381], [33.64333, -117.84144], [33.62944, -117.81088], [33.64614, -117.8108], [33.63379, -117.82457], [33.63621, -117.83722], [33.6296, -117.81253], [33.64646, -117.81183], [33.65744, -117.83782], [33.64716, -117.84709], [33.64956, -117.81165], [33.63603, -117.81118], [33.65744, -117.8388], [33.6413, -117.84687], [33.62934, -117.85742], [33.62395, -117.85298], [33.65558, -117.83807], [33.64618, -117.84547], [33.65558, -117.83811], [33.64327, -117.84151], [33.62945, -117.81084], [33.64614, -117.8111], [33.65742, -117.83784], [33.64714, -117.84713]]","[[33.64702044645405, -117.82690678200822], [33.6468178689664, -117.82693574779523], [33.650297134554144, -117.83950080328543]]","[7, 5, 5]","[11.940203884163681, 11.204390688125088, 1223.2847429798169]",0.6690254211425781,128.95362401008606
9,1400,"[33.64025067958688, -117.83443429448087]","[33.649151637187664, -117.83706662919842]",1017.0106886914828,"[[33.62944, -117.81088], [33.64614, -117.8108], [33.62993, -117.81347], [33.64611, -117.81098], [33.65106, -117.85259], [33.64864, -117.85222], [33.62944, -117.8107], [33.64616, -117.81136], [33.62144, -117.82052], [33.62935, -117.81096], [33.62993, -117.81353], [33.64613, -117.81106], [33.65098, -117.85308], [33.64866, -117.85217], [33.62942, -117.81073], [33.64558, -117.82197], [33.62943, -117.81073], [33.65077, -117.82091], [33.65102, -117.85284], [33.64867, -117.85225], [33.62942, -117.81152], [33.64866, -117.85234], [33.6299, -117.81346], [33.64612, -117.81122], [33.62832, -117.80591], [33.64864, -117.85219], [33.62952, -117.81227], [33.64612, -117.81104], [33.65102, -117.85284], [33.64867, -117.85235], [33.65104, -117.85258], [33.64867, -117.85234], [33.6511, -117.85237], [33.64862, -117.85219], [33.65107, -117.8526], [33.64865, -117.85219], [33.65116, -117.85199], [33.64866, -117.85228], [33.62947, -117.81134], [33.64616, -117.8114], [33.65105, -117.8526], [33.64868, -117.85239], [33.65115, -117.85215], [33.6487, -117.85242], [33.63379, -117.82457], [33.63621, -117.83722], [33.65112, -117.8523], [33.64867, -117.85234], [33.65105, -117.85271], [33.6487, -117.85244], [33.62993, -117.81352], [33.64617, -117.8113], [33.65111, -117.85227], [33.64868, -117.85227], [33.65104, -117.85262], [33.64862, -117.85223], [33.62957, -117.81254], [33.64621, -117.81142], [33.66246, -117.83703], [33.6622, -117.8373], [33.62945, -117.81084], [33.64614, -117.8111], [33.62964, -117.81274], [33.65077, -117.8208], [33.65106, -117.85262], [33.64867, -117.85227], [33.62968, -117.81297], [33.64619, -117.81144], [33.63421, -117.82714], [33.64645, -117.81181], [33.66235, -117.83714], [33.64867, -117.85237], [33.65106, -117.85271], [33.64866, -117.85226], [33.63001, -117.81388], [33.64619, -117.81134], [33.65102, -117.8528], [33.64871, -117.85248], [33.62989, -117.81342], [33.64612, -117.81108], [33.63004, -117.81395], [33.6477, -117.81463], [33.62246, -117.85069], [33.56461, -117.8299], [33.66216, -117.83734], [33.66207, -117.83745], [33.651, -117.85293], [33.64866, -117.85224], [33.65112, -117.85222], [33.64867, -117.8523], [33.66194, -117.83756], [33.64868, -117.85246], [33.65106, -117.85248], [33.64866, -117.85232], [33.6511, -117.85226], [33.64866, -117.85229], [33.662, -117.83749], [33.6285, -117.8061], [33.65113, -117.85212], [33.64865, -117.85222], [33.63005, -117.81394], [33.64767, -117.81467]]","[[33.634859506835255, -117.81085688423298], [33.63663315989138, -117.81028677033643], [33.6260415752688, -117.80925401100112]]","[9, 8, 8]","[2902.6008538508104, 2846.042031223583, 3637.0910363929893]",3.8444793224334717,332.67527770996094
