n,radius,center,randomCenter,centerShift,endpoints,EPZs,EPZsFreq,distance,endpointsClusters,EPZsClusters,EPZsFreqClusters,distanceClusters,preprocessingTime,normalProcessingTime,clusterProcessingTime
0,200,"[33.64025067958688, -117.83443429448087]","[33.6395524722014, -117.83464129243103]",79.78781137526016,"[[33.63957, -117.8318], [33.63988, -117.83252], [33.67733, -117.85939], [33.64106, -117.83592], [33.63734, -117.83508], [33.63737, -117.83507], [33.63979, -117.83248], [33.63993, -117.83242], [33.63991, -117.83251], [33.64113, -117.83598], [33.63989, -117.83247], [33.63996, -117.83252], [33.63974, -117.83231], [33.63988, -117.8325], [33.63747, -117.83489], [33.63735, -117.83506], [33.63993, -117.83246], [33.64107, -117.83595], [33.63981, -117.8325], [33.64106, -117.83585], [33.6411, -117.83589], [33.63792, -117.83565], [33.63998, -117.83249], [33.64109, -117.83601], [33.63972, -117.83226], [33.64111, -117.83596], [33.63981, -117.83248], [33.63908, -117.83148], [33.63936, -117.83114], [33.63993, -117.83252], [33.63991, -117.83252], [33.6285, -117.8061], [33.67638, -117.86301], [33.64107, -117.83595], [33.63983, -117.8325], [33.64105, -117.83587], [33.63984, -117.83249], [33.6411, -117.83596], [33.63974, -117.83227], [33.63992, -117.83249], [33.63991, -117.83243], [33.64108, -117.83591], [33.63989, -117.83248], [33.64107, -117.83589], [33.63993, -117.83243], [33.64116, -117.83607], [33.63997, -117.8324], [33.63994, -117.83246], [33.64112, -117.83585], [33.64119, -117.83594], [33.63984, -117.83249], [33.6411, -117.83597], [33.64113, -117.83598], [33.64105, -117.83588], [33.63969, -117.83217], [33.63991, -117.83249], [33.63984, -117.83248], [33.63992, -117.83252], [33.63963, -117.83211], [33.63992, -117.83248], [33.63986, -117.83251], [33.64107, -117.83585], [33.6399, -117.83249], [33.63981, -117.83249], [33.63978, -117.83243], [33.63988, -117.83252], [33.63945, -117.83127], [33.63994, -117.83251], [33.63996, -117.83241], [33.64109, -117.83596], [33.63989, -117.83251], [33.6399, -117.83251], [33.63992, -117.83246], [33.6411, -117.83601], [33.63994, -117.83246], [33.64106, -117.83585], [33.63984, -117.83251], [33.64104, -117.83596], [33.63771, -117.83465], [33.56461, -117.8299], [33.63995, -117.8324], [33.63987, -117.83687], [33.64116, -117.83598], [33.64105, -117.83588], [33.63995, -117.83248], [33.64108, -117.83593], [33.63997, -117.83239], [33.63994, -117.83248], [33.63994, -117.8324], [33.64114, -117.83606], [33.6398, -117.8325], [33.64107, -117.83588], [33.63994, -117.83253], [33.64115, -117.83596], [33.63978, -117.83241], [33.63992, -117.8325], [33.63994, -117.83242], [33.64109, -117.83592], [33.63991, -117.83245], [33.64114, -117.83601], [33.63974, -117.83245], [33.64106, -117.83596], [33.63982, -117.83247], [33.63992, -117.83249], [33.63991, -117.83252], [33.63994, -117.83247], [33.63981, -117.8325], [33.63991, -117.83249], [33.63995, -117.83248], [33.63994, -117.83247], [33.63954, -117.83159], [33.63738, -117.83504], [33.63986, -117.8325], [33.64109, -117.83596], [33.63989, -117.8325], [33.64124, -117.8361], [33.63983, -117.83251], [33.63994, -117.83246], [33.63992, -117.83253], [33.64111, -117.83598], [33.6411, -117.83587], [33.63771, -117.83393], [33.63936, -117.83103], [33.63994, -117.83241], [33.63992, -117.83248], [33.64109, -117.83594], [33.63958, -117.83181], [33.63992, -117.83251], [33.63992, -117.8324], [33.64105, -117.83588], [33.63978, -117.83249], [33.63994, -117.83249], [33.6399, -117.83251], [33.64112, -117.83589], [33.63988, -117.8325], [33.64122, -117.83611]]","[[33.639583049022384, -117.83462635004648], [33.6395128588303, -117.83461065172698], [33.64143205392048, -117.8337405682966]]","[182, 48, 12]","[3.6638319345278636, 5.2331288880443925, 224.59890593656084]","[[33.63957, -117.8318], [33.67733, -117.85939], [33.64106, -117.83592], [33.63734, -117.83508], [33.63792, -117.83565], [33.6285, -117.8061], [33.67638, -117.86301], [33.56461, -117.8299], [33.63987, -117.83687], [33.63771, -117.83393]]","[[33.63955729585937, -117.83474685830281]]",[3],[9.80828264249675],0.2761247158050537,84.11397242546082,0.9800982475280762
1,200,"[33.64025067958688, -117.83443429448087]","[33.63977928777815, -117.83305216237315]",138.47426040088496,"[[33.63943, -117.83066], [33.63934, -117.83059], [33.64061, -117.835], [33.64079, -117.83535], [33.63927, -117.83094], [33.63947, -117.83084], [33.63941, -117.83065], [33.64072, -117.83516], [33.63944, -117.83063], [33.64084, -117.83534], [33.63951, -117.83088], [33.64077, -117.83525], [33.63931, -117.83096], [33.6394, -117.83065], [33.63943, -117.83065], [33.63942, -117.83068], [33.63929, -117.8304], [33.6408, -117.8353], [33.63934, -117.83058], [33.64083, -117.83534], [33.6392, -117.83065], [33.64061, -117.83506], [33.63938, -117.83054], [33.64081, -117.83541], [33.63927, -117.83036], [33.64074, -117.83516], [33.63941, -117.83058], [33.64078, -117.83527], [33.63956, -117.83091], [33.6394, -117.83064], [33.63783, -117.83455], [33.63806, -117.83433], [33.6393, -117.83033], [33.64079, -117.83523], [33.63945, -117.83074], [33.64056, -117.83505], [33.6394, -117.83058], [33.64078, -117.83529], [33.63926, -117.83043], [33.64078, -117.83539], [33.63953, -117.8309], [33.64079, -117.83527], [33.6407, -117.83506], [33.64077, -117.83524], [33.63931, -117.83038], [33.64063, -117.83508], [33.63937, -117.83052], [33.63939, -117.83066], [33.63941, -117.83064], [33.6394, -117.83066], [33.63923, -117.83072], [33.63937, -117.83064], [33.6391, -117.83055], [33.63939, -117.83063], [33.63919, -117.83063], [33.63943, -117.83072], [33.63935, -117.83041], [33.64078, -117.83519], [33.64085, -117.83522], [33.64083, -117.83526], [33.63907, -117.83057], [33.63938, -117.83063], [33.63934, -117.83059], [33.64083, -117.83531], [33.63931, -117.83087], [33.63939, -117.83068], [33.63939, -117.83059], [33.63938, -117.83065], [33.63929, -117.83037], [33.64072, -117.83527], [33.63933, -117.8305], [33.6395, -117.83089], [33.63926, -117.83079], [33.63953, -117.83091], [33.63947, -117.83087], [33.64074, -117.8352], [33.63915, -117.83065], [33.63945, -117.83074], [33.63922, -117.83073], [33.64054, -117.83505], [33.63924, -117.83088], [33.63939, -117.83064], [33.63811, -117.83432], [33.56461, -117.8299], [33.63942, -117.83058], [33.64075, -117.83521], [33.63919, -117.83063], [33.63938, -117.83057], [33.67638, -117.86301], [33.64066, -117.83507], [33.63914, -117.83056], [33.63942, -117.83067], [33.63934, -117.83049], [33.64077, -117.83527], [33.64072, -117.83515], [33.64058, -117.83501], [33.63938, -117.83055], [33.63922, -117.83071], [33.63931, -117.83034], [33.64069, -117.8351], [33.63947, -117.83077], [33.6406, -117.83505], [33.62832, -117.80591], [33.64063, -117.83501], [33.63942, -117.83057], [33.63939, -117.83059], [33.63936, -117.83062], [33.64081, -117.83531], [33.64069, -117.8351], [33.64076, -117.83524], [33.63951, -117.83088], [33.64078, -117.83528], [33.63941, -117.83061], [33.63939, -117.83066], [33.63913, -117.83058], [33.64086, -117.8352], [33.63925, -117.83074], [33.64073, -117.83519], [33.64087, -117.83538], [33.64058, -117.83501], [33.6395, -117.83086], [33.64063, -117.835], [33.63931, -117.83047], [33.64075, -117.83524], [33.63808, -117.83428], [33.63798, -117.83438], [33.63951, -117.83089], [33.64059, -117.835], [33.64146, -117.83512], [33.6285, -117.8061], [33.63951, -117.83082], [33.64077, -117.83525], [33.6394, -117.83072], [33.64068, -117.83505], [33.63915, -117.83055], [33.64052, -117.83506], [33.63932, -117.83085], [33.63938, -117.83062], [33.63937, -117.83055], [33.6408, -117.83525], [33.63938, -117.83063], [33.63936, -117.83058], [33.63927, -117.83029], [33.64068, -117.83493], [33.63934, -117.83052], [33.6399, -117.8353], [33.63939, -117.83061], [33.64086, -117.83531], [33.63943, -117.83072], [33.6408, -117.83532], [33.63953, -117.83086], [33.64054, -117.83501], [33.63917, -117.83051], [33.63939, -117.83064], [33.63924, -117.8308], [33.63822, -117.83421], [33.63921, -117.83078], [33.63944, -117.83074], [33.63948, -117.83077], [33.64074, -117.83523], [33.63947, -117.83092], [33.64076, -117.83522], [33.64086, -117.83532], [33.64057, -117.83501], [33.63916, -117.83061], [33.6394, -117.83063], [33.63942, -117.83063], [33.64053, -117.83507], [33.64068, -117.835], [33.64079, -117.83536], [33.63929, -117.83037], [33.64078, -117.83521], [33.63922, -117.83078], [33.64079, -117.8353]]","[[33.63987516200747, -117.83302067711674], [33.639758179485725, -117.83308503231358], [33.64901569108251, -117.8246390143112]]","[17, 11, 3]","[11.02785380676844, 3.8445439127514187, 1287.8906769296368]","[[33.63943, -117.83066], [33.64061, -117.835], [33.63783, -117.83455], [33.56461, -117.8299], [33.67638, -117.86301], [33.62832, -117.80591], [33.64146, -117.83512], [33.6399, -117.8353]]","[[33.64083599231316, -117.83714262931939]]",[3],[397.169823991179],0.4451887607574463,142.37367296218872,0.3478987216949463
2,200,"[33.64025067958688, -117.83443429448087]","[33.63966251593723, -117.83515021272255]",93.09745787470752,"[[33.63948, -117.83295], [33.64148, -117.83566], [33.63951, -117.83291], [33.64123, -117.83642], [33.63951, -117.83286], [33.63936, -117.83301], [33.63947, -117.83285], [33.64122, -117.83632], [33.67638, -117.86301], [33.64122, -117.83642], [33.64149, -117.83576], [33.64157, -117.83565], [33.67733, -117.85939], [33.64114, -117.83685], [33.63959, -117.83294], [33.63943, -117.83288], [33.63946, -117.83285], [33.63946, -117.83295], [33.63953, -117.83297], [33.63932, -117.83303], [33.63956, -117.83296], [33.63951, -117.83293], [33.63792, -117.83442], [33.56461, -117.8299], [33.63954, -117.83296], [33.63946, -117.83291], [33.63945, -117.83291], [33.64124, -117.83626], [33.62832, -117.80591], [33.64132, -117.83601], [33.63949, -117.83285], [33.64125, -117.83618], [33.63951, -117.83287], [33.63946, -117.83296], [33.63958, -117.83294], [33.64124, -117.83641], [33.6395, -117.83281], [33.63946, -117.83289], [33.63957, -117.83295], [33.64156, -117.83563], [33.6395, -117.83289], [33.63947, -117.83288], [33.6395, -117.83287], [33.64116, -117.837], [33.63948, -117.83283], [33.63973, -117.8374], [33.63949, -117.83291], [33.64122, -117.83638], [33.63952, -117.83296], [33.64125, -117.83632], [33.63951, -117.83282], [33.63947, -117.83291], [33.63953, -117.83297], [33.63946, -117.83286], [33.63954, -117.83294], [33.63944, -117.83297], [33.63951, -117.83291], [33.64124, -117.83654], [33.63943, -117.83283], [33.64124, -117.83626], [33.63954, -117.83297], [33.64125, -117.83633], [33.63953, -117.83294], [33.64121, -117.83675], [33.63953, -117.83299], [33.64122, -117.83631], [33.63952, -117.83297], [33.6395, -117.83293], [33.63955, -117.83292], [33.63945, -117.8329], [33.63951, -117.83298], [33.64118, -117.83656], [33.63947, -117.83289], [33.63945, -117.83291], [33.6395, -117.83292], [33.64123, -117.83648], [33.63951, -117.83295], [33.63946, -117.83288], [33.6395, -117.83282], [33.6395, -117.83292], [33.63949, -117.83297], [33.63947, -117.83289], [33.63952, -117.8329], [33.63953, -117.83277], [33.63949, -117.8329], [33.63948, -117.83287], [33.63938, -117.83301], [33.63735, -117.83506], [33.63954, -117.83293], [33.64123, -117.83624], [33.63948, -117.83287], [33.63946, -117.83293], [33.63956, -117.83287], [33.63944, -117.8329], [33.63952, -117.83293], [33.63948, -117.83289], [33.63948, -117.83296], [33.6413, -117.83626], [33.63949, -117.83293], [33.63943, -117.83297], [33.63951, -117.83292], [33.63947, -117.83289], [33.63951, -117.83299], [33.64128, -117.8364], [33.64135, -117.83595], [33.6413, -117.83611], [33.63947, -117.83283], [33.63947, -117.83284], [33.63949, -117.83293], [33.63946, -117.8329], [33.63956, -117.83293], [33.64128, -117.83615], [33.6395, -117.83297], [33.64121, -117.83634], [33.63954, -117.83285], [33.64117, -117.83685], [33.63957, -117.83298], [33.63949, -117.83283], [33.63947, -117.83289], [33.63953, -117.83295], [33.63952, -117.8329], [33.64118, -117.83642], [33.64143, -117.83577], [33.64114, -117.83686], [33.6394, -117.83301], [33.63737, -117.83507], [33.6395, -117.83289], [33.63946, -117.83287], [33.6395, -117.8328], [33.64143, -117.83569], [33.63955, -117.83298], [33.64117, -117.83701], [33.63949, -117.83294], [33.6285, -117.8061], [33.6395, -117.83284], [33.64131, -117.83629], [33.63955, -117.83291], [33.63944, -117.833], [33.63956, -117.83295], [33.63951, -117.83291], [33.63947, -117.8329], [33.64134, -117.83617], [33.63949, -117.8329], [33.64131, -117.83637], [33.63951, -117.83289], [33.6395, -117.83287], [33.63951, -117.83289], [33.64125, -117.8362], [33.64149, -117.83563], [33.6415, -117.83558], [33.63955, -117.83286], [33.63945, -117.83285], [33.63958, -117.83299], [33.64125, -117.8362], [33.6395, -117.83294], [33.64127, -117.83628], [33.6415, -117.83574], [33.64145, -117.83566], [33.63953, -117.83295], [33.63949, -117.83292], [33.63953, -117.83299], [33.64128, -117.83633], [33.63949, -117.83278], [33.64122, -117.83652], [33.63954, -117.83299], [33.64146, -117.83564]]","[[33.639680195117585, -117.83513925741005], [33.644471564775685, -117.83017559935877], [33.63961850296445, -117.83514375946287]]","[112, 16, 12]","[2.2086466107464346, 705.3335409045577, 4.918312343113357]","[[33.63948, -117.83295], [33.64148, -117.83566], [33.67638, -117.86301], [33.67733, -117.85939], [33.63792, -117.83442], [33.56461, -117.8299], [33.62832, -117.80591], [33.63973, -117.8374], [33.63735, -117.83506]]",[],[],[],0.40438079833984375,80.879953622818,0.9394617080688477
3,200,"[33.64025067958688, -117.83443429448087]","[33.63933747341706, -117.83416911759342]",104.23386456911231,"[[33.63978, -117.83155], [33.63972, -117.83148], [33.63945, -117.83127], [33.63978, -117.83164], [33.6398, -117.83163], [33.64108, -117.83593], [33.67638, -117.86301], [33.64094, -117.8356], [33.64097, -117.83547], [33.64111, -117.83587], [33.63951, -117.83148], [33.63974, -117.83155], [33.63972, -117.83147], [33.64109, -117.83594], [33.63957, -117.8318], [33.63982, -117.83196], [33.63963, -117.83123], [33.64088, -117.83529], [33.6396, -117.83118], [33.64089, -117.83551], [33.63943, -117.83132], [33.63959, -117.83201], [33.6398, -117.83154], [33.63975, -117.83154], [33.63959, -117.83191], [33.63972, -117.83154], [33.63982, -117.83187], [33.64107, -117.83589], [33.64087, -117.83531], [33.64091, -117.83565], [33.63967, -117.83109], [33.64096, -117.83554], [33.63971, -117.83146], [33.64112, -117.83589], [33.63978, -117.83159], [33.64084, -117.83539], [33.6411, -117.83587], [33.63746, -117.83368], [33.63941, -117.83118], [33.64085, -117.83535], [33.64096, -117.83545], [33.64094, -117.83576], [33.63957, -117.83152], [33.6397, -117.83151], [33.63938, -117.8311], [33.63986, -117.83195], [33.67733, -117.85939], [33.64106, -117.83592], [33.63987, -117.83202], [33.64109, -117.83597], [33.63976, -117.83156], [33.64091, -117.83558], [33.63988, -117.83195], [33.64102, -117.83579], [33.6394, -117.83107], [33.63983, -117.83201], [33.63971, -117.8316], [33.64085, -117.83535], [33.63976, -117.83159], [33.64106, -117.83588], [33.64088, -117.83536], [33.641, -117.83568], [33.64104, -117.8358], [33.64105, -117.83588], [33.63942, -117.83129], [33.64105, -117.83589], [33.63958, -117.832], [33.63982, -117.83196], [33.63953, -117.83159], [33.64101, -117.83558], [33.64087, -117.83532], [33.64088, -117.83545], [33.63986, -117.83197], [33.641, -117.83583], [33.63958, -117.83169], [33.64096, -117.83556], [33.63969, -117.83141], [33.64107, -117.83585], [33.63966, -117.83137], [33.63976, -117.83164], [33.63989, -117.83204], [33.63976, -117.8316], [33.63964, -117.83132], [33.64103, -117.83581], [33.63985, -117.83199], [33.63986, -117.83204], [33.63955, -117.83169], [33.63973, -117.83152], [33.63979, -117.83167], [33.63974, -117.83154], [33.63976, -117.83164], [33.64086, -117.83544], [33.63734, -117.83508], [33.63737, -117.83507], [33.64146, -117.83512], [33.6285, -117.8061], [33.63971, -117.83134], [33.64087, -117.83542], [33.63987, -117.83205], [33.63973, -117.83153], [33.63987, -117.83203], [33.6411, -117.83601], [33.63936, -117.83103], [33.63972, -117.83161], [33.63975, -117.83154], [33.63931, -117.83635], [33.63981, -117.8318], [33.64107, -117.83591], [33.63986, -117.83206], [33.64086, -117.83534], [33.63959, -117.83183], [33.64087, -117.83533], [33.63969, -117.83134], [33.64102, -117.83581], [33.6397, -117.83151], [33.64105, -117.83588], [33.63977, -117.83162], [33.64107, -117.83595], [33.63958, -117.8311], [33.63971, -117.83147], [33.63959, -117.83175], [33.63974, -117.83156], [33.63758, -117.83478], [33.56461, -117.8299], [33.6394, -117.83118], [33.63978, -117.83171], [33.63747, -117.83489], [33.63735, -117.83506], [33.6394, -117.83116], [33.63985, -117.83197], [33.63933, -117.83098], [33.63974, -117.83152], [33.63973, -117.83143], [33.64107, -117.8359], [33.63936, -117.83114], [33.63985, -117.83197], [33.63985, -117.83201], [33.64104, -117.83567], [33.63954, -117.83162], [33.63974, -117.83165], [33.63984, -117.83202], [33.63949, -117.83139], [33.63973, -117.83151], [33.64087, -117.83549], [33.63961, -117.83179], [33.63976, -117.83173], [33.62832, -117.80591], [33.64103, -117.83582], [33.63984, -117.83199], [33.641, -117.8359]]","[[33.63936949543456, -117.83413452030122], [33.639315331685296, -117.83419422745929], [33.64511097746701, -117.8303475294125]]","[24, 13, 4]","[4.787186550869158, 3.384966243271789, 731.9629923188747]","[[33.63978, -117.83155], [33.64108, -117.83593], [33.67638, -117.86301], [33.63746, -117.83368], [33.67733, -117.85939], [33.63734, -117.83508], [33.64146, -117.83512], [33.6285, -117.8061], [33.63931, -117.83635], [33.56461, -117.8299]]",[],[],[],0.844771146774292,152.64506340026855,0.9632644653320312
4,200,"[33.64025067958688, -117.83443429448087]","[33.63989171005818, -117.83599013676803]",149.73033442686045,"[[33.6399, -117.83372], [33.6413, -117.83741], [33.6398, -117.83346], [33.63982, -117.83365], [33.63993, -117.8336], [33.63953, -117.83313], [33.63854, -117.83396], [33.56461, -117.8299], [33.6398, -117.8335], [33.64151, -117.83743], [33.67733, -117.85939], [33.64125, -117.83747], [33.63983, -117.83358], [33.64003, -117.83382], [33.63975, -117.83329], [33.64129, -117.83737], [33.63982, -117.8335], [33.63996, -117.83378], [33.64001, -117.83375], [33.6399, -117.83371], [33.64005, -117.83373], [33.63991, -117.83378], [33.64166, -117.83552], [33.64129, -117.83743], [33.63958, -117.83311], [33.64136, -117.8374], [33.63991, -117.83355], [33.63985, -117.83348], [33.64005, -117.83383], [33.64001, -117.83382], [33.63993, -117.8336], [33.63973, -117.83342], [33.63962, -117.83323], [33.64128, -117.83738], [33.63974, -117.83326], [33.64133, -117.83739], [33.63979, -117.83337], [33.64136, -117.83741], [33.63991, -117.83367], [33.64143, -117.83743], [33.64002, -117.83381], [33.63996, -117.83374], [33.63979, -117.83347], [33.6398, -117.83362], [33.63954, -117.83296], [33.63998, -117.83372], [33.63996, -117.8337], [33.64173, -117.83564], [33.63987, -117.83379], [33.64134, -117.83752], [33.64175, -117.83571], [33.64172, -117.83565], [33.63986, -117.83355], [33.64158, -117.83732], [33.63981, -117.83352], [33.63989, -117.83354], [33.64003, -117.83374], [33.63986, -117.83368], [33.63995, -117.8338], [33.63879, -117.83407], [33.6396, -117.83305], [33.63978, -117.83352], [33.63984, -117.8335], [33.64123, -117.83754], [33.64003, -117.83378], [33.63992, -117.8338], [33.63984, -117.83344], [33.64126, -117.83741], [33.64202, -117.83599], [33.64173, -117.83569], [33.64004, -117.83382], [33.63836, -117.83471], [33.63991, -117.83369], [33.64145, -117.83741], [33.63986, -117.83371], [33.64002, -117.83377], [33.63999, -117.83377], [33.63996, -117.83366], [33.63954, -117.83307], [33.6414, -117.83743], [33.64167, -117.8355], [33.63837, -117.83471], [33.67638, -117.86301], [33.64131, -117.83741], [33.63952, -117.83304], [33.6413, -117.83741], [33.64001, -117.83374], [33.63996, -117.83383], [33.63987, -117.83366], [33.64139, -117.83742], [33.63984, -117.83357], [33.63991, -117.83383], [33.63983, -117.83352], [33.64126, -117.8374], [33.63995, -117.83373], [33.6391, -117.83349], [33.64, -117.83372], [33.6395, -117.83306], [33.63996, -117.83383], [33.63993, -117.83361], [33.6399, -117.83371], [33.63999, -117.83371], [33.63993, -117.83376], [33.64136, -117.83742], [33.63998, -117.83372], [33.64139, -117.8374], [33.63999, -117.83376], [33.63971, -117.83337], [33.63996, -117.83362], [33.63966, -117.83338], [33.63995, -117.83364], [33.63969, -117.83335], [33.64008, -117.83369], [33.63961, -117.83324], [33.63985, -117.83351], [33.64135, -117.83746], [33.63999, -117.83381], [33.63977, -117.83331], [33.63985, -117.83348], [33.64144, -117.83742]]","[[33.63989988824665, -117.83598459239268], [33.63982708221918, -117.83597994333684], [33.64250178350674, -117.83049516762796]]","[43, 12, 6]","[1.04277894481457, 7.230364808438609, 586.2431691139045]","[[33.6399, -117.83372], [33.6413, -117.83741], [33.63854, -117.83396], [33.56461, -117.8299], [33.67733, -117.85939], [33.64166, -117.83552], [33.63836, -117.83471], [33.67638, -117.86301], [33.6391, -117.83349]]","[[33.639880571219216, -117.83586868176282]]",[3],[11.33525247256585],0.19260334968566895,55.26510000228882,0.7065954208374023
5,200,"[33.64025067958688, -117.83443429448087]","[33.64004673342369, -117.83551834069027]",103.08234189932993,"[[33.63973, -117.83338], [33.6412, -117.83729], [33.63958, -117.83294], [33.64121, -117.83727], [33.63977, -117.83318], [33.64253, -117.83643], [33.63951, -117.83291], [33.64121, -117.83727], [33.63976, -117.83332], [33.63954, -117.83303], [33.63952, -117.83296], [33.64111, -117.83741], [33.63958, -117.83301], [33.63972, -117.83331], [33.63854, -117.83396], [33.56461, -117.8299], [33.63976, -117.83336], [33.63963, -117.83327], [33.63951, -117.83306], [33.6412, -117.8373], [33.63957, -117.83313], [33.64121, -117.83729], [33.6396, -117.83305], [33.63965, -117.8333], [33.63955, -117.83291], [33.63946, -117.83306], [33.63962, -117.83306], [33.6397, -117.83337], [33.63955, -117.83292], [33.6395, -117.8331], [33.63953, -117.83296], [33.6412, -117.83733], [33.63956, -117.83287], [33.63966, -117.83338], [33.67733, -117.85939], [33.64114, -117.83735], [33.63971, -117.83339], [33.63966, -117.83335], [33.63977, -117.83332], [33.63979, -117.83337], [33.63957, -117.83314], [33.64121, -117.83733], [33.63973, -117.83324], [33.63967, -117.83336], [33.63966, -117.8332], [33.64118, -117.83728], [33.63976, -117.8333], [33.63978, -117.83335], [33.63954, -117.83313], [33.6412, -117.83734], [33.63967, -117.83327], [33.63904, -117.83342], [33.63958, -117.83308], [33.64118, -117.8373], [33.63954, -117.83313], [33.64118, -117.83723], [33.63952, -117.83304], [33.64121, -117.83724], [33.63953, -117.83297], [33.63971, -117.83324], [33.63954, -117.83297], [33.64121, -117.83731], [33.63962, -117.83306], [33.64119, -117.83732], [33.63965, -117.83326], [33.63977, -117.83332], [33.64192, -117.83588], [33.64208, -117.83602], [33.63978, -117.83332], [33.63958, -117.83322], [33.63957, -117.83301], [33.63836, -117.83471], [33.63951, -117.83302], [33.63979, -117.83334], [33.63964, -117.83323], [33.6412, -117.83735], [33.63974, -117.83326], [33.64122, -117.8373], [33.6396, -117.83306], [33.64125, -117.83731], [33.63961, -117.83312], [33.64122, -117.83726], [33.63956, -117.83302], [33.6395, -117.83287], [33.63954, -117.83309], [33.64254, -117.83645], [33.63971, -117.83324], [33.63969, -117.83335], [33.64194, -117.8356], [33.63827, -117.83591], [33.63962, -117.83323], [33.64123, -117.83731], [33.67638, -117.86301], [33.64124, -117.83724], [33.63951, -117.83298], [33.6412, -117.83725], [33.63963, -117.83313], [33.6395, -117.83306], [33.63959, -117.83306], [33.63953, -117.83313], [33.63972, -117.8333], [33.6395, -117.8331], [33.63963, -117.83321], [33.63952, -117.83313], [33.63953, -117.83302], [33.63946, -117.8329], [33.63955, -117.83284], [33.64118, -117.83728], [33.64199, -117.83563], [33.64111, -117.83736], [33.63957, -117.83295], [33.64248, -117.83638], [33.63957, -117.83305], [33.63948, -117.83289], [33.63961, -117.83311], [33.6395, -117.83314], [33.63958, -117.83311], [33.64121, -117.83723], [33.63967, -117.83323], [33.63945, -117.83303], [33.64202, -117.83599], [33.64222, -117.83615], [33.63982, -117.83335], [33.64124, -117.8373], [33.63956, -117.83296], [33.63971, -117.83323], [33.63957, -117.83308], [33.64121, -117.83724], [33.63976, -117.83334], [33.63971, -117.83337], [33.63974, -117.83336], [33.64119, -117.83732], [33.63951, -117.83293], [33.63948, -117.83307]]","[[33.640140442752795, -117.835463468574], [33.64003855951526, -117.83548972751929], [33.64450466567305, -117.84247604810632]]","[22, 13, 8]","[11.573534930999347, 2.805071551079411, 813.0902185635634]","[[33.63973, -117.83338], [33.6412, -117.83729], [33.64253, -117.83643], [33.63854, -117.83396], [33.56461, -117.8299], [33.67733, -117.85939], [33.63904, -117.83342], [33.63836, -117.83471], [33.63827, -117.83591], [33.67638, -117.86301]]","[[33.64003941962128, -117.83549484820573]]",[3],[2.325536039640441],0.2102818489074707,48.367210149765015,0.9858732223510742
