n,radius,numberActivity,center,randomCenter,centerShift,endpoints,EPZs,EPZsFreq,distance,preprocessingTime,normalProcessingTime
0,200,62,"[33.64025067958688, -117.83443429448087]","[33.64089998179665, -117.83553516534333]",124.96853549133391,"[[33.6395, -117.83303], [33.63973, -117.8374], [33.6398, -117.8335], [33.64168, -117.83748], [33.63979, -117.83357], [33.64209, -117.83733], [33.64267, -117.83627], [33.63913, -117.83631], [33.63984, -117.83357], [33.63945, -117.83303], [33.63995, -117.83357], [33.63989, -117.83374], [33.63976, -117.83334], [33.63971, -117.83337], [33.63951, -117.83289], [33.64203, -117.83731], [33.63993, -117.8336], [33.63973, -117.83342], [33.63979, -117.83337], [33.64209, -117.83734], [33.63955, -117.83298], [33.64203, -117.83735], [33.63984, -117.83344], [33.64183, -117.83747], [33.63958, -117.83301], [33.63972, -117.83331], [33.63979, -117.83344], [33.63993, -117.83361], [33.64273, -117.83628], [33.64186, -117.83742], [33.63983, -117.83349], [33.63993, -117.83368], [33.63956, -117.83302], [33.63988, -117.83351], [33.63983, -117.83358], [33.63989, -117.83354], [33.63987, -117.83366], [33.64209, -117.83724], [33.63952, -117.83304], [33.64177, -117.83746], [33.67733, -117.85939], [33.64171, -117.83749], [33.67638, -117.86301], [33.64192, -117.83738], [33.63996, -117.83362], [33.63966, -117.83338], [33.63982, -117.83353], [33.64231, -117.83723], [33.63985, -117.83351], [33.64202, -117.83731], [33.63973, -117.83324], [33.63967, -117.83336], [33.63986, -117.8335], [33.64259, -117.83656], [33.63985, -117.83348], [33.64193, -117.83732], [33.63976, -117.83336], [33.63963, -117.83327], [33.63958, -117.83311], [33.64181, -117.83741], [33.63995, -117.83358], [33.63968, -117.83338], [33.6399, -117.83371], [33.63979, -117.83334], [33.63984, -117.8335], [33.642, -117.83732], [33.63986, -117.83354], [33.63948, -117.83414], [33.63953, -117.83299], [33.64207, -117.83731], [33.63953, -117.83295], [33.63995, -117.83367], [33.63993, -117.8336], [33.63953, -117.83313], [33.63972, -117.8333], [33.63973, -117.83345], [33.63993, -117.83366], [33.64185, -117.83746], [33.63963, -117.83321], [33.63952, -117.83313], [33.63986, -117.83349], [33.63996, -117.83366], [33.64264, -117.83622], [33.64263, -117.83638], [33.63982, -117.8335], [33.63979, -117.83349], [33.63991, -117.83369], [33.64199, -117.8373], [33.63985, -117.83352], [33.64213, -117.83735], [33.63987, -117.83348], [33.63986, -117.83369], [33.63986, -117.83371], [33.63995, -117.83361], [33.63988, -117.83349], [33.64166, -117.83751], [33.63976, -117.83333], [33.6399, -117.83371], [33.6398, -117.83346], [33.63982, -117.83365], [33.63979, -117.83347], [33.6398, -117.83362], [33.63955, -117.83284], [33.64184, -117.83744], [33.63994, -117.8335], [33.64206, -117.83728], [33.6396, -117.83305], [33.63978, -117.83352], [33.63978, -117.83341], [33.64206, -117.83734], [33.63995, -117.8337], [33.6285, -117.8061], [33.63994, -117.83371], [33.64254, -117.83647], [33.63984, -117.83345], [33.63977, -117.83352], [33.63971, -117.83339], [33.63966, -117.83335], [33.63981, -117.83352], [33.63989, -117.83354], [33.63963, -117.83313], [33.6395, -117.83306], [33.64256, -117.83647], [33.64252, -117.83657]]","[[33.64095213243797, -117.83549417863277], [33.64081268056822, -117.83559219928664], [33.64164105012059, -117.83442521597904]]","[22, 11, 5]","[6.922199089300485, 11.034423466160451, 131.75489198093973]",0.7026278972625732,292.2452642917633
1,200,104,"[33.64025067958688, -117.83443429448087]","[33.64022436175989, -117.83526845049013]",77.44171432753745,"[[33.63955, -117.83291], [33.63946, -117.83306], [33.63953, -117.83303], [33.64254, -117.83647], [33.63952, -117.8329], [33.64209, -117.83734], [33.63953, -117.83308], [33.6412, -117.83729], [33.63961, -117.83311], [33.6395, -117.83314], [33.63945, -117.83287], [33.6412, -117.83729], [33.6396, -117.83307], [33.64193, -117.83732], [33.63954, -117.83313], [33.64118, -117.83723], [33.63961, -117.83313], [33.64213, -117.83735], [33.63953, -117.83294], [33.64123, -117.83732], [33.6396, -117.83305], [33.63947, -117.83303], [33.63956, -117.83295], [33.63951, -117.83291], [33.63954, -117.83309], [33.64254, -117.83645], [33.63951, -117.83287], [33.63948, -117.83289], [33.63955, -117.83286], [33.63945, -117.83303], [33.63956, -117.83304], [33.6395, -117.83308], [33.63955, -117.83306], [33.63948, -117.83287], [33.63957, -117.83301], [33.63836, -117.83471], [33.67733, -117.85939], [33.64171, -117.83749], [33.63955, -117.83298], [33.64203, -117.83735], [33.63956, -117.83296], [33.63951, -117.83293], [33.63964, -117.83309], [33.64206, -117.83728], [33.63956, -117.83287], [33.63949, -117.83311], [33.63952, -117.83304], [33.64177, -117.83746], [33.63958, -117.83301], [33.63947, -117.83291], [33.63951, -117.83289], [33.64203, -117.83731], [33.63958, -117.83299], [33.6412, -117.83735], [33.63953, -117.83305], [33.63954, -117.83315], [33.63953, -117.83297], [33.63954, -117.83301], [33.63954, -117.83296], [33.63965, -117.83315], [33.62832, -117.80591], [33.64205, -117.83597], [33.63949, -117.83297], [33.63947, -117.83289], [33.63954, -117.83301], [33.64122, -117.83721], [33.63962, -117.83314], [33.63951, -117.83311], [33.63854, -117.83396], [33.56461, -117.8299], [33.63958, -117.83294], [33.64121, -117.83727], [33.64264, -117.83622], [33.64263, -117.83638], [33.63955, -117.83296], [33.64121, -117.83731], [33.6396, -117.83306], [33.64125, -117.83731], [33.6395, -117.83296], [33.64121, -117.83724], [33.63957, -117.83313], [33.64209, -117.83724], [33.64267, -117.83627], [33.63827, -117.83591], [33.63966, -117.8332], [33.64183, -117.83747], [33.63958, -117.83304], [33.6395, -117.83292], [33.63962, -117.83307], [33.63951, -117.83309], [33.67638, -117.86301], [33.64192, -117.83738], [33.64263, -117.83623], [33.63837, -117.83471], [33.63958, -117.83302], [33.64122, -117.8373], [33.63954, -117.83304], [33.63948, -117.8329], [33.63958, -117.83311], [33.64121, -117.83723], [33.63952, -117.83296], [33.64111, -117.83725], [33.63959, -117.83306], [33.63953, -117.83313], [33.6395, -117.83303], [33.63973, -117.8374], [33.63962, -117.83323], [33.64123, -117.83731], [33.63973, -117.83317], [33.6412, -117.83722], [33.63954, -117.83308], [33.63955, -117.83314], [33.63954, -117.83315], [33.63957, -117.83299], [33.63961, -117.83312], [33.64202, -117.83731], [33.63954, -117.83307], [33.64128, -117.83702], [33.6395, -117.83297], [33.64185, -117.83746], [33.63959, -117.83294], [33.63958, -117.83322], [33.64273, -117.83628], [33.64186, -117.83742], [33.63957, -117.83305], [33.63948, -117.83289], [33.63953, -117.83302], [33.63946, -117.8329], [33.63961, -117.83311], [33.6391, -117.83349], [33.63955, -117.83304], [33.63953, -117.83312], [33.6395, -117.83302], [33.63951, -117.83311], [33.63977, -117.83318], [33.64253, -117.83643], [33.63962, -117.83319], [33.6395, -117.83293], [33.63954, -117.83313], [33.64209, -117.83733], [33.63953, -117.83296], [33.64206, -117.83734], [33.63958, -117.83311], [33.64181, -117.83741], [33.63967, -117.8332], [33.63963, -117.83323], [33.64265, -117.83624], [33.6411, -117.83725], [33.63953, -117.83295], [33.63962, -117.83316], [33.63954, -117.83294], [33.6395, -117.8331], [33.63951, -117.83298], [33.6412, -117.83725], [33.63951, -117.83306], [33.64168, -117.83748], [33.63957, -117.83298], [33.63947, -117.83301], [33.63956, -117.83307], [33.63946, -117.83288], [33.63958, -117.83303], [33.63947, -117.8329], [33.63954, -117.83293], [33.64121, -117.83723], [33.63958, -117.83308], [33.64118, -117.8373], [33.63947, -117.83283], [33.6396, -117.83318], [33.64238, -117.83634], [33.64247, -117.83641], [33.63954, -117.83297], [33.642, -117.83732], [33.63963, -117.83321], [33.63952, -117.83313], [33.63963, -117.83313], [33.6395, -117.83306], [33.63962, -117.83306], [33.63947, -117.83305], [33.63955, -117.83292], [33.6395, -117.8331], [33.63957, -117.83313], [33.63904, -117.83342], [33.63962, -117.83306], [33.64166, -117.83751], [33.63955, -117.83284], [33.64184, -117.83744], [33.63954, -117.83299], [33.64259, -117.83656], [33.63951, -117.83299], [33.64126, -117.83728], [33.6396, -117.83308], [33.63954, -117.83303], [33.64256, -117.83647], [33.64252, -117.83657], [33.6396, -117.83315], [33.63907, -117.83343], [33.64202, -117.83599], [33.64222, -117.83615], [33.63956, -117.83302], [33.6395, -117.83287], [33.63951, -117.83291], [33.64199, -117.8373], [33.6395, -117.83292], [33.64123, -117.83733], [33.63958, -117.83295], [33.63961, -117.83324], [33.63951, -117.83293], [33.63948, -117.83307]]","[[33.64827388467045, -117.82518939302591], [33.640139868720226, -117.83530063695609], [33.64951295826585, -117.82357410697718]]","[16, 12, 12]","[1292.819544923088, 9.835832608956075, 1496.105763856475]",0.8502681255340576,732.9098076820374
2,200,46,"[33.64025067958688, -117.83443429448087]","[33.63921699153385, -117.83480280720092]",119.64113768878836,"[[33.63971, -117.83268], [33.6398, -117.83256], [33.63969, -117.83267], [33.64125, -117.83731], [33.63964, -117.83268], [33.6412, -117.83735], [33.6397, -117.83266], [33.63965, -117.8327], [33.63974, -117.83264], [33.63964, -117.8327], [33.6397, -117.83266], [33.64253, -117.83643], [33.63967, -117.83266], [33.64183, -117.83747], [33.63977, -117.83261], [33.63974, -117.83262], [33.63968, -117.83271], [33.63976, -117.83256], [33.63967, -117.83267], [33.63977, -117.83257], [33.62832, -117.80591], [33.64205, -117.83597], [33.63975, -117.83268], [33.63982, -117.83252], [33.63975, -117.83259], [33.64181, -117.83741], [33.64238, -117.83634], [33.64247, -117.83641], [33.63974, -117.8326], [33.64126, -117.83728], [33.63947, -117.83266], [33.64099, -117.83554], [33.63986, -117.83248], [33.64168, -117.83748], [33.64001, -117.83246], [33.6398, -117.83256], [33.64267, -117.83627], [33.63714, -117.83531], [33.63964, -117.83268], [33.63981, -117.83257], [33.63972, -117.83265], [33.63979, -117.83256], [33.63969, -117.83266], [33.642, -117.83732], [33.63967, -117.83267], [33.63735, -117.83511], [33.63968, -117.83265], [33.63972, -117.83267], [33.67733, -117.85939], [33.64171, -117.83749], [33.63972, -117.83265], [33.63966, -117.83269], [33.63968, -117.83267], [33.6399, -117.83251], [33.63969, -117.83267], [33.63988, -117.83252], [33.64263, -117.83623], [33.63746, -117.83368], [33.64264, -117.83622], [33.64263, -117.83638], [33.63968, -117.83265], [33.63973, -117.8374], [33.63969, -117.83266], [33.64206, -117.83734], [33.63739, -117.83496], [33.56461, -117.8299], [33.6398, -117.83255], [33.64207, -117.83731], [33.63971, -117.8326], [33.63971, -117.83265], [33.63967, -117.83266], [33.64111, -117.83725], [33.63979, -117.83254], [33.63908, -117.83148], [33.63971, -117.83262], [33.63967, -117.8327], [33.63975, -117.8326], [33.63984, -117.83256], [33.63979, -117.83257], [33.64199, -117.8373], [33.63963, -117.83267], [33.64118, -117.8373], [33.63969, -117.83269], [33.64254, -117.83647], [33.63966, -117.83264], [33.64123, -117.83731], [33.63975, -117.83251], [33.6412, -117.83729], [33.63964, -117.83268], [33.64231, -117.83723], [33.63985, -117.83253], [33.63982, -117.83255]]","[[33.639297444298, -117.83479651960486], [33.63918664396312, -117.83477690761359], [33.64360107127969, -117.832064122211]]","[9, 6, 4]","[8.942535066452358, 4.135646630271796, 548.6392414790977]",0.24597811698913574,175.72217774391174
