Kudos Date,Kudos Type,Parent ID
"Sep 14, 2020, 3:44:57 AM",Activity,4056792346
"Sep 14, 2020, 3:27:35 PM",Activity,4056489368
"Sep 16, 2020, 11:31:16 PM",Activity,4035301131
"Sep 18, 2020, 3:52:23 AM",Activity,4075175028
"Sep 18, 2020, 3:52:38 AM",Activity,4069468140
"Sep 18, 2020, 3:52:47 AM",Activity,4073302303
"Sep 18, 2020, 6:25:25 PM",Activity,4078309605
"Sep 19, 2020, 8:13:48 PM",Activity,4083157278
"Sep 19, 2020, 11:50:51 PM",Activity,4083371386
"Sep 21, 2020, 1:02:42 PM",Activity,4090375746
"Sep 21, 2020, 1:04:14 PM",Activity,4090635508
"Sep 21, 2020, 1:04:17 PM",Activity,4090470527
"Sep 21, 2020, 6:43:16 PM",Activity,4092692953
"Sep 22, 2020, 6:33:13 PM",Activity,4094953240
"Sep 23, 2020, 11:04:18 PM",Activity,4099299307
"Sep 24, 2020, 2:58:24 AM",Activity,4102120827
"Sep 24, 2020, 6:05:54 PM",Activity,4106448884
"Sep 28, 2020, 1:29:49 PM",Activity,4123235251
"Sep 29, 2020, 3:45:03 AM",Activity,4126270048
"Sep 30, 2020, 5:30:46 AM",Activity,4130574026
"Sep 30, 2020, 5:33:26 AM",Activity,4130360614
"Sep 30, 2020, 3:11:43 PM",Activity,4132990466
"Oct 2, 2020, 2:56:30 PM",Activity,4139438908
"Oct 2, 2020, 2:56:34 PM",Activity,4139928576
"Oct 2, 2020, 2:56:39 PM",Activity,4139928365
"Oct 3, 2020, 7:22:02 PM",Activity,4146148470
"Oct 5, 2020, 12:47:06 AM",Activity,4150850128
"Oct 5, 2020, 5:29:45 PM",Activity,4152956082
"Oct 7, 2020, 2:01:00 AM",Activity,4161023725
"Oct 7, 2020, 2:02:23 AM",Activity,4160540407
"Oct 9, 2020, 4:05:16 PM",Activity,4172201630
"Oct 10, 2020, 2:13:04 PM",Activity,4174784510
"Oct 10, 2020, 2:13:10 PM",Activity,4176254177
"Oct 10, 2020, 5:18:44 PM",Activity,4177189770
"Oct 10, 2020, 5:18:54 PM",Activity,4176657485
"Oct 12, 2020, 12:11:59 AM",Activity,4183233196
"Oct 12, 2020, 4:26:52 PM",Activity,4184730802
"Oct 12, 2020, 4:31:58 PM",Activity,4185194132
"Oct 13, 2020, 3:13:53 PM",Activity,4189621362
"Oct 13, 2020, 3:13:59 PM",Activity,4187877078
"Oct 15, 2020, 5:56:54 AM",Activity,4196072571
"Oct 15, 2020, 5:57:04 AM",Activity,4195814944
"Oct 15, 2020, 5:57:15 AM",Activity,4195217112
"Oct 16, 2020, 11:30:41 PM",Activity,4179606987
"Oct 17, 2020, 4:33:09 AM",Activity,4204527117
"Oct 17, 2020, 4:33:20 AM",Activity,4164030701
"Oct 17, 2020, 4:33:22 AM",Activity,4204386822
"Oct 17, 2020, 10:52:33 PM",Activity,4208605325
"Oct 17, 2020, 10:52:56 PM",Activity,4204662433
"Oct 18, 2020, 2:06:52 AM",Activity,4175368830
"Oct 20, 2020, 10:56:10 AM",Activity,4216753150
"Oct 23, 2020, 11:00:31 PM",Activity,4234250155
"Oct 23, 2020, 11:00:46 PM",Activity,4228862798
"Oct 23, 2020, 11:00:55 PM",Activity,4225605130
"Oct 23, 2020, 11:00:57 PM",Activity,4221832295
"Oct 25, 2020, 3:41:24 PM",Activity,4239534403
"Oct 31, 2020, 1:22:23 AM",Activity,4223120792
"Oct 31, 2020, 1:22:31 AM",Activity,4264327616
"Nov 1, 2020, 4:41:08 PM",Activity,4270792426
"Nov 1, 2020, 4:41:12 PM",Activity,4270790478
"Nov 5, 2020, 10:26:22 PM",Activity,4286083099
"Nov 5, 2020, 10:26:32 PM",Activity,4291820723
"Nov 5, 2020, 10:26:35 PM",Activity,4290046045
"Nov 5, 2020, 10:26:38 PM",Activity,4279991269
"Nov 5, 2020, 10:26:40 PM",Activity,4274314919
"Nov 9, 2020, 5:43:05 PM",Activity,4313558971
"Nov 10, 2020, 12:58:14 AM",Activity,4215733065
"Nov 10, 2020, 1:59:14 AM",Activity,4314466684
"Nov 11, 2020, 4:41:52 PM",Activity,4322177027
"Nov 11, 2020, 4:41:56 PM",Activity,4319508150
"Nov 14, 2020, 1:32:19 AM",Activity,4329879775
"Nov 14, 2020, 1:32:22 AM",Activity,4333582202
"Nov 16, 2020, 4:28:53 AM",Activity,4343563566
"Nov 16, 2020, 4:29:23 AM",Activity,4343563217
"Nov 21, 2020, 8:51:36 PM",Activity,4367153305
"Nov 24, 2020, 7:29:49 PM",Activity,4374751706
"Nov 29, 2020, 5:58:59 AM",Activity,4403263619
"Nov 29, 2020, 6:00:29 AM",Activity,4400392840
"Dec 1, 2020, 2:23:33 AM",Activity,4410074549
"Dec 5, 2020, 5:42:12 AM",Activity,4430597060
"Dec 8, 2020, 5:17:11 AM",Activity,4431254040
"Dec 8, 2020, 6:05:34 PM",Activity,4445128533
"Dec 14, 2020, 4:50:36 AM",Activity,4460901627
"Dec 22, 2020, 12:07:08 AM",Activity,4494072222
"Dec 22, 2020, 12:07:26 AM",Activity,4493729383
"Dec 22, 2020, 12:07:32 AM",Activity,4477800108
"Dec 31, 2020, 10:25:13 PM",Activity,4536953899
"Dec 31, 2020, 10:25:18 PM",Activity,4541789222
